SMILES,CID,creator,rationale,fragments,link,real_space,SCR,BB,extended_real_space,in_molport_or_mcule,in_ultimate_mcule,in_emolecules,covalent_frag,covalent_warhead,acrylamide,acrylamide_adduct,chloroacetamide,chloroacetamide_adduct,vinylsulfonamide,vinylsulfonamide_adduct,nitrile,nitrile_adduct,MW,cLogP,HBD,HBA,TPSA,num_criterion_violations,BMS,Dundee,Glaxo,Inpharmatica,LINT,MLSMR,PAINS,SureChEMBL,PostEra
O=C(Nc1ccnnc1)NC(Cc1ccccc1)C(=O)N1CCCC1,BAR-COM-4e090d3a-56,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,https://covid.postera.ai/covid/submissions/BAR-COM-4e090d3a,Z2313212158,False,False,s_2430____10902332____3479618,False,False,False,False,False,False,False,False,False,False,False,False,False,339.39900000000017,1.8318,2,4,87.21999999999998,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
CC(Cl)C(=O)N1CCC(C(=O)N2CCCCC2)CC1,BRU-LEF-cf996d6c-1,"Bruce a Lefker, Lefker Biopharmaconsulting LLC","add methyl group to Mpro-x1380 to reduce reactivity of alpha chloro amide, increase selectivity, and increase potency by extending toward prime side of active site",x1380,https://covid.postera.ai/covid/submissions/BRU-LEF-cf996d6c,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,286.80300000000005,1.8648,0,2,40.62000000000001,0,secondary_halide_sulfate,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(Nc1cnccc1Cl)c1cc(Cl)ccc1O,CHR-SOS-7098f804-10,"Chris de Graaf, Sosei Heptares","Structure-based design combining:
1) X_0678 and X_0107 (targeting the S1 and S1' pockets)
2) X_0161, X_0195, X_0946 (providing a vector to target the S3 pocket from the S1' pocket)
3) The recently reported niclosamide hit (not reviewed pre-print, https://www.biorxiv.org/content/10.1101/2020.02.25.965582v2)

The N-phenylbenzamide scaffold of Niclosamide may bind in similar way as the benzamide (X_0678) and (di)phenylurea (X_0434) scaffolds observed in several fragments.

Obviously early days and appreciating that recognising simple substructures between hits and assuming they bind in a similar manner can be deceiving. I have therefore also included 9 designs to efficiently explore simple SAR around the putative niclosamide hit, which can be helpful to provide more confidence in the binding mode hypothesis and customise/extend the scope of the associated designs.

The cross-over designs include:
- Incorporation of the 3-pyridine nitrogen H-bond acceptor targeting H163 in the S1 pocket into the niclosamide N-phenylbenzamide scaffold
- Exploration of different vectors and linkers to grow from the lipophilic S1' pocket into the S3 pocket with and without the sulphonamide of X_0161/X_0195/X_0946","x0107,x0161,x0195,x0678,x0946",https://covid.postera.ai/covid/submissions/CHR-SOS-7098f804,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,283.1140000000001,3.3463000000000007,2,3,62.22,0,PASS,PASS,PASS,PASS,PASS,4-halopyridine,PASS,PASS,PASS
O=C(Nc1cnccc1Cl)c1cccc(Cl)c1,CHR-SOS-7098f804-21,"Chris de Graaf, Sosei Heptares","Structure-based design combining:
1) X_0678 and X_0107 (targeting the S1 and S1' pockets)
2) X_0161, X_0195, X_0946 (providing a vector to target the S3 pocket from the S1' pocket)
3) The recently reported niclosamide hit (not reviewed pre-print, https://www.biorxiv.org/content/10.1101/2020.02.25.965582v2)

The N-phenylbenzamide scaffold of Niclosamide may bind in similar way as the benzamide (X_0678) and (di)phenylurea (X_0434) scaffolds observed in several fragments.

Obviously early days and appreciating that recognising simple substructures between hits and assuming they bind in a similar manner can be deceiving. I have therefore also included 9 designs to efficiently explore simple SAR around the putative niclosamide hit, which can be helpful to provide more confidence in the binding mode hypothesis and customise/extend the scope of the associated designs.

The cross-over designs include:
- Incorporation of the 3-pyridine nitrogen H-bond acceptor targeting H163 in the S1 pocket into the niclosamide N-phenylbenzamide scaffold
- Exploration of different vectors and linkers to grow from the lipophilic S1' pocket into the S3 pocket with and without the sulphonamide of X_0161/X_0195/X_0946","x0107,x0161,x0195,x0678,x0946",https://covid.postera.ai/covid/submissions/CHR-SOS-7098f804,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,267.11499999999995,3.6407000000000016,1,2,41.99,0,PASS,PASS,PASS,PASS,PASS,4-halopyridine,PASS,PASS,PASS
O=C(Nc1ccc([N+](=O)[O-])cc1)c1cc(Cl)ccc1O,CHR-SOS-7098f804-3,"Chris de Graaf, Sosei Heptares","Structure-based design combining:
1) X_0678 and X_0107 (targeting the S1 and S1' pockets)
2) X_0161, X_0195, X_0946 (providing a vector to target the S3 pocket from the S1' pocket)
3) The recently reported niclosamide hit (not reviewed pre-print, https://www.biorxiv.org/content/10.1101/2020.02.25.965582v2)

The N-phenylbenzamide scaffold of Niclosamide may bind in similar way as the benzamide (X_0678) and (di)phenylurea (X_0434) scaffolds observed in several fragments.

Obviously early days and appreciating that recognising simple substructures between hits and assuming they bind in a similar manner can be deceiving. I have therefore also included 9 designs to efficiently explore simple SAR around the putative niclosamide hit, which can be helpful to provide more confidence in the binding mode hypothesis and customise/extend the scope of the associated designs.

The cross-over designs include:
- Incorporation of the 3-pyridine nitrogen H-bond acceptor targeting H163 in the S1 pocket into the niclosamide N-phenylbenzamide scaffold
- Exploration of different vectors and linkers to grow from the lipophilic S1' pocket into the S3 pocket with and without the sulphonamide of X_0161/X_0195/X_0946","x0107,x0161,x0195,x0678,x0946",https://covid.postera.ai/covid/submissions/CHR-SOS-7098f804,False,False,False,s_22____1154820____467356,False,False,False,False,False,False,False,False,False,False,False,False,False,292.678,3.2061000000000006,2,4,92.47,0,PASS,"nitro group, Oxygen-nitrogen single bond",PASS,PASS,aromatic NO2,"Dye 16 (1), Dye 29",PASS,PASS,PASS
O=C(CCl)N1CC2CC1CN2Cc1cccc(Cl)c1,DAN-LON-a5fc619e-8,"Daniel Zaidman, London Lab, Weizmann Institute of Science","The inspiration is X_0770, one of the covalent fragments. I based these designs on a simple 3-step synthetic route with commercially available boc-protected piperazines. First step is nucleophilic substitution with 1-(bromomethyl)-3-chlorobenzene, then deprotection, and then amidation with 2-chloroacetyl chloride. I docked them using the constrained scaffold of X_0770, and chose that seem compatible. Also,  I predict that the ones with the substitution next to the chloroacetamide will have reduced electrophile reactivity due to steric hindrance. If you have any questions, feel free to email me.",x0770,https://covid.postera.ai/covid/submissions/DAN-LON-a5fc619e,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,299.20099999999996,2.3639,0,2,23.550000000000004,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NC(=O)[C@@H]1CN(C2CCOCC2)C[C@H]1c1ccccc1,DUN-NEW-f8ce3686-1,"Duncan Miller, Newcastle University","Merging of x0072 with x1458 to combine the covalent warhead of x1458 with the sulfonamide fragment x1458 (Designs arrived at by overlay of crystal structures in Biovia Discovery Viewer, and identifying common vectors for fragment growth/merging by eye, with synthetic accessibility taken into account)","x0072,x1458",https://covid.postera.ai/covid/submissions/DUN-NEW-f8ce3686,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,274.36400000000003,1.3662999999999994,1,3,55.56,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
CS(=O)(=O)N1CCN(C(=O)CCl)CC1c1ccccc1,DUN-NEW-f8ce3686-22,"Duncan Miller, Newcastle University","Merging of x0072 with x1458 to combine the covalent warhead of x1458 with the sulfonamide fragment x1458 (Designs arrived at by overlay of crystal structures in Biovia Discovery Viewer, and identifying common vectors for fragment growth/merging by eye, with synthetic accessibility taken into account)","x0072,x1458",https://covid.postera.ai/covid/submissions/DUN-NEW-f8ce3686,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,316.81,1.0703,0,3,57.69000000000001,0,PASS,PASS,PASS,PASS,PASS,Hetero_hetero,PASS,PASS,PASS
O=C(NCCNc1ccnc2cc(Cl)ccc12)Nc1ccc(F)cc1,GAB-FAC-880f6604-1,"Gabriel Navarrete-VAzquez, Facultad de Farmacia, Universidad Autonoma del Estado de Morelos, Mexico","Compound is an analogue of Chloroquine, an antimalarial and immunomodulator drug, which has been tested agains COVID2019 and showed potency in the low micromolar range EC50= 1.13 microMolar. I think it is a good lead",x0072,https://covid.postera.ai/covid/submissions/GAB-FAC-880f6604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,358.80400000000014,4.260900000000002,3,3,66.05,0,PASS,Aliphatic long chain,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Cc1ccncc1NC(=O)CNC(=O)Cc1cccnc1,GAB-REV-70cc3ca5-13,"Gabriel Grand, Reverie Labs, Inc.","Top 23 results hand-selected from a virtual fragment expansion, docking, and screening exercise. First, a set of 2.1K existing viral protease inhibitors from ChEMBL was analyzed to extract a library of 9.4K common design motifs. Reverie’s in-house fragment expansion engine was used to combinatorially place these fragments on the acetamide methyl position of fragment X0107 via a variety of simple, synthetically-accessible linkers. Results were filtered extensively for toxicity and reactivity using an in-house library of SMARTS patterns, and an RDKit cLogP cutoff of 5.0 was applied. The remaining 8.4K compounds were docked via multiple docking methods and pose-constrained to match the orientation of the crystal-bound X0107 fragment. An ensemble of scoring functions was used to select a set of 886 compounds with high predicted affinity.

These compounds were manually triaged by individuals on the Reverie chemistry team to select the final set of compounds for submission. The final set includes compounds that make favorable hydrophobic interactions with His41, Met49, and Thr25, as well as some that make buried hydrogen bonds with the Thr25 sidechain and the Cys44 backbone carbonyl.",x0107,https://covid.postera.ai/covid/submissions/GAB-REV-70cc3ca5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,284.319,1.0824199999999995,2,4,83.98,0,PASS,PASS,PASS,PASS,PASS,Dipeptide,PASS,PASS,PASS
Cc1ccncc1NC(=O)CN(C)S(=O)(=O)c1cccc2cccnc12,GAB-REV-70cc3ca5-8,"Gabriel Grand, Reverie Labs, Inc.","Top 23 results hand-selected from a virtual fragment expansion, docking, and screening exercise. First, a set of 2.1K existing viral protease inhibitors from ChEMBL was analyzed to extract a library of 9.4K common design motifs. Reverie’s in-house fragment expansion engine was used to combinatorially place these fragments on the acetamide methyl position of fragment X0107 via a variety of simple, synthetically-accessible linkers. Results were filtered extensively for toxicity and reactivity using an in-house library of SMARTS patterns, and an RDKit cLogP cutoff of 5.0 was applied. The remaining 8.4K compounds were docked via multiple docking methods and pose-constrained to match the orientation of the crystal-bound X0107 fragment. An ensemble of scoring functions was used to select a set of 886 compounds with high predicted affinity.

These compounds were manually triaged by individuals on the Reverie chemistry team to select the final set of compounds for submission. The final set includes compounds that make favorable hydrophobic interactions with His41, Met49, and Thr25, as well as some that make buried hydrogen bonds with the Thr25 sidechain and the Cys44 backbone carbonyl.",x0107,https://covid.postera.ai/covid/submissions/GAB-REV-70cc3ca5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,370.434,2.19742,1,5,92.26,0,PASS,PASS,PASS,PASS,PASS,Hetero_hetero,PASS,PASS,PASS
O=C(CC(=O)N1CCOCC1)NC1CCCCC1,GIA-UNK-3f36037a-1,Gianfranco Lopopolo,"Malonamides could be used as potential scaffold, due to ther ability to act as a valid peptidomimetic, as it can simulate secondary structure of the natural substrate. Both chloromethyl fragment (covalent interaction) and morpholine fragment (non covalent interaction) are presented as alternative.",x1380,https://covid.postera.ai/covid/submissions/GIA-UNK-3f36037a,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,254.33,0.6841999999999995,1,3,58.64,0,PASS,beta-keto/anhydride,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(CC(=O)N1CCOCC1)NCc1ccccc1,GIA-UNK-3f36037a-6,Gianfranco Lopopolo,"Malonamides could be used as potential scaffold, due to ther ability to act as a valid peptidomimetic, as it can simulate secondary structure of the natural substrate. Both chloromethyl fragment (covalent interaction) and morpholine fragment (non covalent interaction) are presented as alternative.",x1380,https://covid.postera.ai/covid/submissions/GIA-UNK-3f36037a,False,False,BBV-113362185,False,False,False,False,True,False,False,False,False,False,False,False,False,False,262.309,0.5517000000000001,1,3,58.64,0,PASS,beta-keto/anhydride,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N#CC(C(=O)Nc1ccccc1)C(=O)c1cccc(Cl)c1,JOH-UNI-c7afdb96-4,"John SPENCER, University of Sussex","Related to Leflunomide and analogues as per a previous mail.
SF5 analogue is made in our lab as part of a PhD programme so I can source this.
(sorry, couldn't access the fragments so picked one at random below!)",x0072,https://covid.postera.ai/covid/submissions/JOH-UNI-c7afdb96,Z638912400,Z638912400,False,s_276436____14076146____14085848,False,False,False,False,True,False,False,False,False,False,False,True,False,298.7290000000001,3.3011800000000022,1,3,69.96000000000001,0,PASS,beta-keto/anhydride,PASS,PASS,PASS,Ketone,PASS,oxy-amide,PASS
O=C(Nc1cccc(C(=O)N2CCSCC2)c1)C(F)Cl,JOO-IND-6372a4f3-2,"Joost Uitdehaag, Industry",Covalent fragments with more drug-like warheads as discussed on the forum.  Fragments 786 and 0830 (together with 749 in an earlier proposal) have a different way of approaching the catalytic Cys 145. Testing these designs will show which approach is most suitable for which warhead.,"x0786,x0830",https://covid.postera.ai/covid/submissions/JOO-IND-6372a4f3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,316.785,2.3485000000000005,1,3,49.41,0,secondary_halide_sulfate,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(C(F)Cl)N1CCCC(c2nc3ccccc3s2)C1,JOO-IND-b13e14cc-2,"Joost Uitdehaag, Industry","Fragment 0749 is excellently oriented to accommodate these alternative warheads for covalently binding fragments. As suggested by others on the forum, acrylamide (as in ibrutinib), chlorofluoroacetamide and propiolamide warheads (as in acalabrutinib) are less reactive and more drug like than the original chloracetamide warhead of 0749. This is my follow-up attempt to make designs incorporating these warheads. 
#covalent",x0749,https://covid.postera.ai/covid/submissions/JOO-IND-b13e14cc,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,312.79700000000014,3.5367000000000024,0,3,33.2,0,secondary_halide_sulfate,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
COc1ccc(NC(=O)C2CCN(C(=O)CCl)CC2)cn1,LON-WEI-120e5cf5-1,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,311.76900000000006,1.5060999999999998,1,4,71.53,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
CC(=O)c1ccc(NC(=O)C2CCN(C(=O)CCl)CC2)cc1,LON-WEI-120e5cf5-10,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,322.7920000000001,2.3051000000000004,1,3,66.48,0,PASS,PASS,PASS,PASS,PASS,Ketone,PASS,PASS,PASS
O=C(Nc1cccnc1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-11,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,Z3766261117,False,False,m_270062____16423224____8147258,False,False,False,False,True,False,False,True,False,False,False,False,False,281.743,1.4975,1,3,62.3,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(Nc1ccn(-c2ccccc2)n1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-12,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,346.81800000000015,2.2882000000000007,1,4,67.23,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Cc1ccnc(NC(=O)C2CCN(C(=O)CCl)CC2)c1,LON-WEI-120e5cf5-13,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,Z1562127316,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,295.7700000000001,1.80592,1,3,62.3,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(Nc1cc(Cl)nc2ccccc12)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-14,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,366.24800000000016,3.304100000000002,1,3,62.3,0,PASS,2-halo pyridine,PASS,Filter94_2_halo_pyridine,2-chloropyridine,2-halopyridine,PASS,"halo-pyridine,_-diazoles_and_-triazoles",PASS
O=C(Nc1ccccc1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-15,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,Z199424114,Z199424114,EN300-24638,m_270062____7598736____8147258,False,False,False,False,True,False,False,True,False,False,False,False,False,280.755,2.1025,1,2,49.41,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(Nc1ccccc1Br)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-16,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,Z1562135488,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,359.65100000000007,2.865000000000001,1,2,49.41,0,PASS,PASS,PASS,Filter9_metal,aryl bromide,PASS,PASS,PASS,PASS
COc1ccc(NC(=O)C2CCN(C(=O)CCl)CC2)cn1,LON-WEI-120e5cf5-17,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,311.76900000000006,1.5060999999999998,1,4,71.53,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(Nc1c[nH]c2ccc(Br)cc12)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-18,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,398.68800000000016,3.3463000000000016,2,2,65.2,0,PASS,PASS,PASS,Filter9_metal,aryl bromide,PASS,PASS,PASS,PASS
CC(=O)c1cccc(NC(=O)C2CCN(C(=O)CCl)CC2)c1,LON-WEI-120e5cf5-19,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,322.7920000000001,2.3051000000000004,1,3,66.48,0,PASS,PASS,PASS,PASS,PASS,Ketone,PASS,PASS,PASS
O=C(Nc1cccc(-c2cc[nH]n2)c1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-2,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,346.81800000000015,2.4926000000000004,2,3,78.09,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(Nc1ccc(Cl)cc1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-20,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,315.2000000000001,2.7559000000000013,1,2,49.41,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Cc1cccnc1NC(=O)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-21,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,Z1562127314,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,295.7700000000001,1.80592,1,3,62.3,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
COc1cc(NC(=O)C2CCN(C(=O)CCl)CC2)cc(OC)c1OC,LON-WEI-120e5cf5-3,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,370.83300000000014,2.1283000000000003,1,5,77.10000000000002,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(Nc1ccc(N2CCNC2=O)cc1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-4,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,364.83300000000014,1.6320999999999997,2,3,81.75,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
CN(C(=O)C1CCN(C(=O)CCl)CC1)c1ccccc1,LON-WEI-120e5cf5-5,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,Z1562134354,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,294.782,2.1268,0,2,40.62000000000001,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(Nc1cccc(C2=NN=C3CCCCC32)c1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-6,"London Lab, Weizmann Institute",piperidine-amide series made by the London lab,x0072,https://covid.postera.ai/covid/submissions/LON-WEI-120e5cf5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,400.91000000000014,3.4514000000000022,1,4,74.13,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
