SMILES,CID,frag_ID,fragalysis_link
Cc1ccc(C(=O)N2CCN(C(=O)CCl)CC2)cc1,AAR-POS-d2a4d1df-25,x0705,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)NNC(=O)c1cc2c(s1)CCCC2,AAR-POS-d2a4d1df-26,x0708,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Cc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)cc1,AAR-POS-d2a4d1df-27,x0731,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(c2ccccc2[N+](=O)[O-])CC1,AAR-POS-d2a4d1df-28,x0734,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(C(=O)c2ccco2)CC1,AAR-POS-d2a4d1df-29,x0736,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(=O)Nc1cnccc1C,AAR-POS-d2a4d1df-3,x0107,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCCC(c2nc3ccccc3s2)C1,AAR-POS-d2a4d1df-30,x0749,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)NCc1ccc2c(c1)OCO2,AAR-POS-d2a4d1df-31,x0752,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,AAR-POS-d2a4d1df-32,x0755,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCOC(c2ccc(F)cc2)C1,AAR-POS-d2a4d1df-33,x0759,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(S(=O)(=O)c2ccccc2F)CC1,AAR-POS-d2a4d1df-34,x0769,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(Cc2cccc(Cl)c2)CC1,AAR-POS-d2a4d1df-35,x0770,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Cc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c(C)c1,AAR-POS-d2a4d1df-36,x0771,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
N#Cc1ccccc1S(=O)(=O)N1CCN(C(=O)CCl)CC1,AAR-POS-d2a4d1df-37,x0774,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)Nc1cccc(C(=O)N2CCSCC2)c1,AAR-POS-d2a4d1df-38,x0786,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(NC(=O)CCl)c1cccc2ccccc12,AAR-POS-d2a4d1df-39,x0820,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CN1CCCc2ccc(S(N)(=O)=O)cc21,AAR-POS-d2a4d1df-4,x0195,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(Cc2cccc3ccccc23)CC1,AAR-POS-d2a4d1df-40,x0830,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Cc1ccccc1CN1CCCN(C(=O)CCl)CC1,AAR-POS-d2a4d1df-41,x0831,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(=O)N[C@H](C(=O)NCC#CBr)[C@H](C)O,AAR-POS-d2a4d1df-42,x0978,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(=O)NC(CC(N)=O)C(=O)NCC#CBr,AAR-POS-d2a4d1df-43,x0981,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,AAR-POS-d2a4d1df-44,x1308,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CCNc1ccc(C#N)cn1,AAR-POS-d2a4d1df-5,x0305,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Cc1ccc(OCC(=O)N2CCN(C)CC2)cc1,AAR-POS-d2a4d1df-6,x0354,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
OC1CCN(Cc2ccsc2)CC1,AAR-POS-d2a4d1df-7,x0387,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Cc1nnc(CN2CCC=C(F)C2)s1,AAR-POS-d2a4d1df-8,x0395,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Cc1cc(CN(C)C(=O)NC2CC2)no1,AAR-POS-d2a4d1df-9,x0397,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N(c1ccccc1)C1C=CS(=O)(=O)C1,AAR-POS-0daf6b7e-1,x1311,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(NC(=O)CCl)c1cccc(Cl)c1,AAR-POS-0daf6b7e-10,x1382,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,AAR-POS-0daf6b7e-11,x1384,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(Cc2ccc(Br)s2)CC1,AAR-POS-0daf6b7e-12,x1385,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(Cc2ccsc2)CC1,AAR-POS-0daf6b7e-13,x1386,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1Cc2ccccc2C(c2ccccc2)C1,AAR-POS-0daf6b7e-14,x1392,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(S(=O)(=O)c2ccc(Cl)s2)CC1,AAR-POS-0daf6b7e-15,x1402,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(C(=O)c2cccs2)CC1,AAR-POS-0daf6b7e-16,x1412,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(Cc2cccs2)CC1,AAR-POS-0daf6b7e-17,x1418,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
COc1ccc(N2CCN(C(=O)CCl)CC2)cc1,AAR-POS-0daf6b7e-18,x1425,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,AAR-POS-0daf6b7e-19,x1458,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(Cc2ccc(Cl)s2)CC1,AAR-POS-0daf6b7e-2,x1334,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)Nc1cccnc1Cl,AAR-POS-0daf6b7e-20,x1478,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(=O)N1CCN(C(=O)CCl)CC1,AAR-POS-0daf6b7e-21,x1493,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
OCC1(c2ccccn2)CCCC1,AAR-POS-0daf6b7e-22,x0887,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Cn1ccc(C(=O)NC[C@@H]2CCCO2)n1,AAR-POS-0daf6b7e-23,x1187,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=S1(=O)CC(O)C1,AAR-POS-0daf6b7e-24,x1012,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Oc1ccccc1CNc1nc2ccccc2[nH]1,AAR-POS-0daf6b7e-25,x0390,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC1C(O)CCCN1Cc1ccccc1,AAR-POS-0daf6b7e-26,x0464,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
c1cnc(N2CCC3(CCOC3)C2)cn1,AAR-POS-0daf6b7e-27,x0425,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
c1ccc(SCCN2CCOCC2)cc1,AAR-POS-0daf6b7e-28,x0398,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Clc1cccc(CN2CCOCC2)c1,AAR-POS-0daf6b7e-29,x0669,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Cc1ccc(C)c(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c1,AAR-POS-0daf6b7e-3,x1336,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
OCC1CN(Cc2ccccc2)CCO1,AAR-POS-0daf6b7e-30,x1163,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
COC(=O)c1cccc(NS(C)(=O)=O)c1,AAR-POS-0daf6b7e-31,x0478,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
NC(=O)C1CCN(C(=O)Nc2ccccc2)CC1,AAR-POS-0daf6b7e-32,x0177,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(=O)Nc1ccc(Oc2ncccn2)cc1,AAR-POS-0daf6b7e-33,x0194,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CCNCc1cn(C)nn1,AAR-POS-0daf6b7e-34,x1226,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
COC(=O)Nc1sc(C)nc1-c1ccccc1,AAR-POS-0daf6b7e-35,x1235,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Fc1cccc(CNCc2ccco2)c1,AAR-POS-0daf6b7e-36,x0350,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Oc1ccccn1,AAR-POS-0daf6b7e-37,x1002,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC1CN(C(=O)Cn2cccn2)CCO1,AAR-POS-0daf6b7e-38,x1132,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CS(=O)(=O)Cc1nc2ccccc2[nH]1,AAR-POS-0daf6b7e-39,x1237,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
COc1cccc2sc(NC(=O)CCl)nc12,AAR-POS-0daf6b7e-4,x1348,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(C)N(C)c1ncnc2c1cnn2C,AAR-POS-0daf6b7e-40,x1101,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
NC(=O)c1ccc(NC(=O)[C@@H]2CCCO2)cc1,AAR-POS-0daf6b7e-41,x0499,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,AAR-POS-0daf6b7e-42,x1119,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(c1ccc2c(c1)OCO2)N1CCCCCC1,AAR-POS-0daf6b7e-43,x0376,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CN1CCN(C(=O)Nc2ccccc2)CC1,AAR-POS-0daf6b7e-44,x0165,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(=O)NCc1ccc(S(N)(=O)=O)cc1,AAR-POS-0daf6b7e-45,x0336,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Cc1cc(F)ccc1CS(N)(=O)=O,AAR-POS-0daf6b7e-46,x1086,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(NC1CCN(C(=O)CCl)CC1)c1ccccc1,AAR-POS-0daf6b7e-5,x1351,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(Nc1ccccc1O)C1CCN(C(=O)CCl)CC1,AAR-POS-0daf6b7e-6,x1358,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Cc1ccc(N(C(=O)CCl)C2C=CS(=O)(=O)C2)cc1,AAR-POS-0daf6b7e-7,x1374,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N(c1ccc(F)cc1)C1C=CS(=O)(=O)C1,AAR-POS-0daf6b7e-8,x1375,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCC(C(=O)N2CCCCC2)CC1,AAR-POS-0daf6b7e-9,x1380,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CS(=O)(=O)c1ccc(N2CCNCC2)cc1,AAR-POS-5507155c-1,X2193,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
COc1ccc(NC(=O)C2CCN(C(=O)CCl)CC2)cn1,AAR-POS-5507155c-2,X2052,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
N=C(S)c1ncccn1,AAR-POS-5507155c-3,X2097,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
N=C(S)c1ncc[nH]1,AAR-POS-5507155c-4,X2119,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CC1=CN=CC2=C1C=CC=C2)NC3=CC=CC=C3,DAR-DIA-23aa0b97-20,X2563,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC1=C(NC(CC2=CC=CC(C#N)=C2)=O)C=NC=C1,TRY-UNI-714a760b-20,X2572,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
COC1=CC=NC(NC(CC2=CC=C(C=CC=C3)C3=C2)=O)=C1,ALV-UNI-7ff1a6f9-47,X2581,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(NC1=CC=CN=C1)CC2=CC=CC(C#N)=C2,ANN-UNI-26382800-5,X2600,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC1=CC=C(NC(NC2=CC=CN=C2)=O)S1,DAR-DIA-842b4336-3,X2608,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
ClC1=CC=C(CC(NC2=CC=CN=C2)=O)S1,DAR-DIA-842b4336-13,X2643,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CC1=CC=CC(Cl)=C1)NC2=CN=CC=C2C,TRY-UNI-714a760b-6,X2646,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC1=C(NC(C(C2=CC=CC(Cl)=C2)C)=O)C=NC=C1,TRY-UNI-714a760b-18,X2649,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
C=CC(N(C1=NOC(C(C)(C)C)=C1)C(C2=CC=CN=C2)C(NC(C)(C)C)=O)=O,LON-WEI-b8d98729-23,X2540,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(S(=O)(C2=CC=CS2)=O)CC1,LON-WEI-8f408cad-3,x0689,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
FC1=CC=CC(S(=O)(N2CCN(C(CCl)=O)CC2)=O)=C1,LON-WEI-8f408cad-4,x0691,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
ClCC(N1CCN(CC2=CC=CS2)CC1)=O,LON-WEI-8f408cad-5,x1418,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
C=CC(N(C1=NOC(C(C)(C)C)=C1)C(C2=CC=CN=C2)C(NC3=C(C)C=C(OC)C=C3)=O)=O,LON-WEI-b8d98729-43,X2694,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
C=CC(N(C1=CN=C(C(C)C)C=C1)C(C2=CC=CN=C2)C(NC3=C(CC)C=CC=C3C)=O)=O,LON-WEI-b8d98729-18,X2703,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
C=CC(N(C1=CC(C(C)(C)C)=NN1)C(C2=CC=CN=C2)C(NC3=C(CC)C=CC=C3C)=O)=O,LON-WEI-b8d98729-20,X2705,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
