SMILES,CID,creator,rationale,fragments,link,real_space,SCR,BB,extended_real_space,in_molport_or_mcule,in_ultimate_mcule,in_emolecules,covalent_frag,covalent_warhead,acrylamide,acrylamide_adduct,chloroacetamide,chloroacetamide_adduct,vinylsulfonamide,vinylsulfonamide_adduct,nitrile,nitrile_adduct,MW,cLogP,HBD,HBA,TPSA,num_criterion_violations,BMS,Dundee,Glaxo,Inpharmatica,LINT,MLSMR,PAINS,SureChEMBL,PostEra
COCCN1C(=O)[C@@H]2C(Cc3c[nH]c4ccccc34)NC3(C(=O)Nc4ccc(Cl)cc43)[C@@H]2C1=O,AAR-POS-fca48359-10,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,478.93600000000015,2.4307999999999987,3,5,103.53,0,PASS,phthalimide,PASS,Filter78_bicyclic_Imide,PASS,PASS,PASS,PASS,PASS
Cc1ccc(N(C(=O)C2N3C(=O)CC3S(=O)(=O)C2(C)C)C(C(=O)NC2CCCCC2)c2ccc(O)cc2)cc1,AAR-POS-fca48359-11,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,553.6810000000004,3.357820000000001,2,6,124.09000000000002,1,betalactam,PASS,PASS,PASS,PASS,"b-lactam, Long aliphatic chain",PASS,PASS,PASS
N=C(N)NCCC[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,AAR-POS-fca48359-12,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,455.51500000000016,1.3567700000000018,6,5,166.62999999999997,1,PASS,"Aliphatic long chain, imine, imine",PASS,PASS,"carbamate, CBZ Protected, carbamate include di-substitued N","Imine 3, Long aliphatic chain, Dipeptide",PASS,PASS,PASS
NC(=O)CCC1NC2(C(=O)Nc3c(Cl)cccc32)[C@@H]2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@H]12,AAR-POS-fca48359-13,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,496.9070000000004,1.2547999999999986,3,7,140.06,0,PASS,phthalimide,PASS,Filter78_bicyclic_Imide,PASS,PASS,PASS,PASS,PASS
O=C1/C(=C\c2ccco2)CCC/C1=C\c1ccco1,AAR-POS-fca48359-14,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,254.285,4.092600000000003,0,3,43.35,0,PASS,PASS,PASS,Filter44_michael_acceptor2,PASS,"Ketone, vinyl michael acceptor1",ene_one_ene_A(57),PASS,PASS
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,AAR-POS-fca48359-15,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,290.271,1.5460999999999998,5,6,110.38,0,PASS,catechol,PASS,Filter57_polyphenol1,PASS,PASS,catechol_A(92),PASS,PASS
O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,AAR-POS-fca48359-16,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,458.37500000000017,2.233199999999999,8,11,197.37,2,gte_5_phenolic_OH,catechol,PASS,Filter57_polyphenol1,PASS,"2,3,4trihydroxyphenyl, Ester",catechol_A(92),PASS,PASS
CC(C)=C1CC[C@@H](C)CC1=O,AAR-POS-fca48359-17,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,EN300-6479323,False,False,False,False,False,False,False,False,False,False,False,False,False,False,152.237,2.7119000000000013,0,1,17.07,0,PASS,PASS,PASS,Filter44_michael_acceptor2,PASS,Ketone,PASS,PASS,PASS
CC(C(=O)O)c1ccc2c3cc(Cl)ccc3n(C)c2c1,AAR-POS-fca48359-18,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,287.7460000000001,4.173000000000003,1,2,42.23,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(/C=C/c1ccccc1)Nc1ccc(/C=C/C(=O)c2ccccc2)cc1,AAR-POS-fca48359-2,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,353.42100000000005,5.234600000000004,1,2,46.17,1,PASS,PASS,PASS,Filter44_michael_acceptor2,PASS,"Ketone, Dye 9, vinyl michael acceptor1",PASS,phenylethene,PASS
O=C(O)C1=CC(O)C(O)C(O)C1,AAR-POS-fca48359-21,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,EN300-208879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,174.15200000000004,-1.5162000000000004,4,4,97.99,1,PASS,PASS,PASS,PASS,PASS,vinyl michael acceptor1,PASS,PASS,PASS
CC1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,AAR-POS-fca48359-22,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,296.366,3.4433000000000025,0,3,43.37000000000001,0,PASS,diketo group,PASS,"Filter41_12_dicarbonyl, Filter44_michael_acceptor2",PASS,Ketone,imine_one_A(321),PASS,PASS
COc1ccc([C@@H]2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,AAR-POS-fca48359-23,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,610.5650000000003,-1.1566,8,15,234.29,5,flavanoid,PASS,PASS,Filter57_polyphenol1,PASS,"acetal, Ketone",PASS,PASS,PASS
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,AAR-POS-fca48359-3,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,376.45300000000015,1.6046,2,5,95.94,0,PASS,PASS,PASS,PASS,"aliphatic ester, not lactones","Ester, Long aliphatic chain",PASS,PASS,PASS
COc1ccc(C(=O)N2CCC(C(=O)N3CCC(Cc4ccccc4)CC3)CC2)cc1,AAR-POS-fca48359-4,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,420.55300000000017,4.028700000000003,0,3,49.85,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
CC(=O)N1CCC(C(=O)N2CCC(Cc3ccccc3)CC2)CC1,AAR-POS-fca48359-5,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,Z30161996,False,False,s_22____57765____60828,False,True,False,False,False,False,False,False,False,False,False,False,False,328.45600000000013,2.7262000000000013,0,2,40.62000000000001,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)C(c2ccccc2Cl)N1,AAR-POS-fca48359-6,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,340.81000000000006,3.5980000000000016,2,3,54.12000000000001,0,PASS,PASS,PASS,PASS,PASS,Ester,PASS,PASS,PASS
O=C(O)[C@@H]1CCCN1C(=O)CC(CNC(=O)[C@@H]1CSCN1)c1ccc(Cl)cc1,AAR-POS-fca48359-7,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,425.93800000000016,1.6680000000000001,3,5,98.74,0,PASS,PASS,PASS,PASS,PASS,Long aliphatic chain,PASS,PASS,PASS
O=C1C2Cc3c([nH]c4ccccc34)C(c3ccc(Cl)cc3)N2C(=O)CN1CCCn1ccnc1,AAR-POS-fca48359-8,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,473.9640000000003,3.793000000000003,1,4,74.23,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C1OC(N2C(=O)CC[C@H]2C(=O)Nc2cccc(Cl)c2)c2ccccc21,AAR-POS-fca48359-9,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,370.79200000000014,3.1387000000000014,1,4,75.71,0,PASS,PASS,PASS,PASS,PASS,Ester,PASS,PASS,PASS
CS(=O)(=O)NCCC(C(=O)Nc1cccnc1)c1ccccc1,ADA-UNI-f8e79267-2,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,333.41300000000007,1.7431999999999994,2,4,88.16,0,PASS,PASS,PASS,PASS,PASS,"Long aliphatic chain, Hetero_hetero",PASS,PASS,PASS
CNCCC(C(=O)Nc1cccnc1)c1ccccc1,ADA-UNI-f8e79267-5,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,269.348,2.4134,2,3,54.02,0,PASS,PASS,PASS,PASS,PASS,Long aliphatic chain,PASS,PASS,PASS
COc1cc(Cl)cc(OC(=O)Nc2cccnc2)c1,AGN-NEW-891393a6-1,"Agnieszka K. Bronowska, Newcastle University",Molecular docking and structure-guided design of synthetically feasible fragments.,x0434,https://covid.postera.ai/covid/submissions/AGN-NEW-891393a6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,278.695,3.3545000000000016,1,4,60.45,0,PASS,PASS,PASS,PASS,carbamate include di-substitued N,PASS,PASS,Phenylester,PASS
O=C(Nc1cccnc1)Oc1cc(O)cc(Cl)c1,AGN-NEW-891393a6-2,"Agnieszka K. Bronowska, Newcastle University",Molecular docking and structure-guided design of synthetically feasible fragments.,x0434,https://covid.postera.ai/covid/submissions/AGN-NEW-891393a6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,264.66799999999995,3.0515000000000008,2,4,71.45,0,PASS,PASS,PASS,PASS,carbamate include di-substitued N,PASS,PASS,Phenylester,PASS
Cc1cccc(CC(=O)Nc2cccnc2C#N)c1,AGN-NEW-c7b24fe3-3,"Agnieszka K. Bronowska, Newcastle University","Structure-guided design, navigating on fragments (non-covalent) available via Enamine REAL space.",x0434,https://covid.postera.ai/covid/submissions/AGN-NEW-c7b24fe3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,251.28900000000002,2.4429000000000007,1,3,65.78,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N#Cc1ncccc1NC(=O)Cc1cccc(Cl)c1,AGN-NEW-c7b24fe3-4,"Agnieszka K. Bronowska, Newcastle University","Structure-guided design, navigating on fragments (non-covalent) available via Enamine REAL space.",x0434,https://covid.postera.ai/covid/submissions/AGN-NEW-c7b24fe3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,271.707,2.7878800000000012,1,3,65.78,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
C=CC(=O)Nc1c(C)cccc1CC(=O)Nc1cccnc1Cl,AGN-NEW-cce853d0-1,"Agnieszka K. Bronowska, Newcastle University",Structure-guided growth of X0434 into the covalent fragment (using SeeSAR9).,x0434,https://covid.postera.ai/covid/submissions/AGN-NEW-cce853d0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,329.7870000000001,3.349120000000002,2,3,71.09,0,PASS,2-halo pyridine,PASS,Filter94_2_halo_pyridine,2-chloropyridine,2-halopyridine,PASS,"halo-pyridine,_-diazoles_and_-triazoles",PASS
Cc1ccncc1NC(=O)CCCBr,ALE-HEI-f28a35b5-12,"Alexander Minges, Heinrich Heine University Düsseldorf","Fragments were chosen and merged based on visual inspection. Three-dimensional models were obtained and energy-minimised using RDkit and used for docking with smina (AutoDock vina-derived software, vinardo scoring function). See notes section for SMILE strings ranked by binding affinity according to docking.","x0107,x0395,x0434,x0678,x0967,x0991,x1093",https://covid.postera.ai/covid/submissions/ALE-HEI-f28a35b5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,257.131,2.5036200000000006,1,2,41.99,0,PASS,PASS,PASS,"Filter9_metal, Filter75_alkyl_Br_I",PASS,PASS,PASS,PASS,Alkyl Halide
Cc1ccncc1NC(=O)NCCBr,ALE-HEI-f28a35b5-13,"Alexander Minges, Heinrich Heine University Düsseldorf","Fragments were chosen and merged based on visual inspection. Three-dimensional models were obtained and energy-minimised using RDkit and used for docking with smina (AutoDock vina-derived software, vinardo scoring function). See notes section for SMILE strings ranked by binding affinity according to docking.","x0107,x0395,x0434,x0678,x0967,x0991,x1093",https://covid.postera.ai/covid/submissions/ALE-HEI-f28a35b5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,258.119,1.90642,2,2,54.02,0,PASS,PASS,PASS,"Filter1_2_halo_ether, Filter9_metal, Filter75_alkyl_Br_I, Filter84_nitrogen_mustard",mustards,PASS,PASS,PASS,Alkyl Halide
O=C(CCCBr)Nc1cccnc1,ALE-HEI-f28a35b5-14,"Alexander Minges, Heinrich Heine University Düsseldorf","Fragments were chosen and merged based on visual inspection. Three-dimensional models were obtained and energy-minimised using RDkit and used for docking with smina (AutoDock vina-derived software, vinardo scoring function). See notes section for SMILE strings ranked by binding affinity according to docking.","x0107,x0395,x0434,x0678,x0967,x0991,x1093",https://covid.postera.ai/covid/submissions/ALE-HEI-f28a35b5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,243.10400000000004,2.1952,1,2,41.99,0,PASS,PASS,PASS,"Filter9_metal, Filter75_alkyl_Br_I",PASS,PASS,PASS,PASS,Alkyl Halide
O=C(Nc1cccnc1)NC1CCCCC1,ALE-HEI-f28a35b5-8,"Alexander Minges, Heinrich Heine University Düsseldorf","Fragments were chosen and merged based on visual inspection. Three-dimensional models were obtained and energy-minimised using RDkit and used for docking with smina (AutoDock vina-derived software, vinardo scoring function). See notes section for SMILE strings ranked by binding affinity according to docking.","x0107,x0395,x0434,x0678,x0967,x0991,x1093",https://covid.postera.ai/covid/submissions/ALE-HEI-f28a35b5,Z44592328,Z44592328,False,s_2430____881164____740834,False,False,False,False,False,False,False,False,False,False,False,False,False,219.28799999999995,2.535800000000001,2,2,54.02,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(CC1CCCCC1)Nc1cccnc1,ALE-HEI-f28a35b5-9,"Alexander Minges, Heinrich Heine University Düsseldorf","Fragments were chosen and merged based on visual inspection. Three-dimensional models were obtained and energy-minimised using RDkit and used for docking with smina (AutoDock vina-derived software, vinardo scoring function). See notes section for SMILE strings ranked by binding affinity according to docking.","x0107,x0395,x0434,x0678,x0967,x0991,x1093",https://covid.postera.ai/covid/submissions/ALE-HEI-f28a35b5,Z31792168,Z31792168,False,s_22____57778____59992,False,True,False,False,False,False,False,False,False,False,False,False,False,218.30000000000004,2.9905000000000013,1,2,41.99,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
