Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID
1181202-Y4-02,O05,20200520_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CNC=2C=CN=C3C=CC=CC23,GAB-REV-70c-4,4,100,GAB-REV-70cc3ca5-4
1181202-Y4-02,P05,20200520_enamine_to_xchem.csv,CN(C)CC(=C)C(=O)N1CC(C=2C=CC=CC2)C=3C=CC=CC3C1,REN-UFA-aaa-3,4,100,REN-UFA-aaaed2d6-3
1181202-Y4-02,Q05,20200520_enamine_to_xchem.csv,"O=C(N[C@@H]1CCCC[C@H]1NC(=O)C=2C=CN=CC2)C3CCCCC3 |&1:3,8,r|",GIA-UNK-d2d-1,4,100,GIA-UNK-d2defdc3-1
1181202-Y4-02,R05,20200520_enamine_to_xchem.csv,C=C(C(=O)NC=1C=CC=CC1)C=2C=CC=NC2,BEN-DND-031-8,4,100,BEN-DND-031a96cc-8
1181202-Y4-02,S05,20200520_enamine_to_xchem.csv,CC=1C=CC=C(CC(=O)NC=2C=CC=NC2C#N)C1,AGN-NEW-c7b-3,4,100,AGN-NEW-c7b24fe3-3
1181202-Y4-02,T05,20200520_enamine_to_xchem.csv,CC(=O)N[C@@H](CC=1C=CC(O)=CC1)C(=O)NCC=2C=CC(Br)=CC2,NIC-BIO-a68-5,4,100,NIC-BIO-a68395b7-5
1181202-Y4-02,U05,20200520_enamine_to_xchem.csv,O=C(NCC1=CC=NO1)C=2C=CC=CC2OC3CCCCC3,BAR-COM-4e0-65,4,100,BAR-COM-4e090d3a-65
1181202-Y4-02,V05,20200520_enamine_to_xchem.csv,"CN1CCC(CC1)C(=O)N[C@@H]2CCCC[C@H]2NC(=O)C3CCCCC3 |&1:10,15,r|",GIA-UNK-d2d-3,4,100,GIA-UNK-d2defdc3-3
1181202-Y4-02,W05,20200520_enamine_to_xchem.csv,FC=1C=CC=C(C1)S(=O)(=O)N2CCN(CC2)C(=O)CN3C=CC=N3,IND-SYN-6c8-7,4,100,IND-SYN-6c8299e8-7
1181202-Y4-02,X05,20200520_enamine_to_xchem.csv,O=C(CC1=CNC=2N=CC=CC12)N3CCC(CC3)N4CCCS4(=O)=O,SWA-SYN-642-10,4,100,SWA-SYN-d2e6fa14-9
1181202-Y4-02,Y05,20200520_enamine_to_xchem.csv,NS(=O)(=O)C=1C=CC(=CC1)C(=O)N2CC(C=3C=CC=CC3)C=4C=CC=CC4C2,JAR-IMP-ed4-13,4,100,JAR-IMP-ed466bb3-13
1181202-Y4-02,Z05,20200520_enamine_to_xchem.csv,NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)C3=NC=4C=CC=CC4S3,WAR-XCH-b72-8,4,100,WAR-XCH-b72a1bbc-8
1181202-Y4-02,AA05,20200520_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(CCC#N)=CC1)C=2C=CC=NC2,Z4459610252,4,100,LON-WEI-adc59df6-78
1181202-Y4-02,AB05,20200520_enamine_to_xchem.csv,O=C(NC=1C=CC(OC=2N=CC=CN2)=CC1)C(=O)N3CCN(CC4=CC=CS4)CC3,MAK-UNK-b1d-3,4,100,MAK-UNK-b1d4dcd7-3
1181202-Y4-02,AC05,20200520_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C2CCOC2)C=3C=CC=NC3,Z4459610258,4,100,LON-WEI-adc59df6-83
1181202-Y4-02,AD05,20200520_enamine_to_xchem.csv,[O-][N+](=O)C=1C=CC(NC(=O)C=2C=CC=C(Cl)C2)=C(Cl)C1,CHR-SOS-709-2,4,100,CHR-SOS-7098f804-2
1181202-Y4-02,AE05,20200520_enamine_to_xchem.csv,ClCC(=O)N1CCN(CC=2C=CC=C(C#N)C2)CC1,PAT-UNK-b2d-1,4,100,MAT-POS-ee51dedd-1
1181202-Y4-02,AF05,20200520_enamine_to_xchem.csv,"CC(C)(C)NC(=O)C(N([C@@H]1C[C@@H]1C=2C=CC=CC2)C(=O)C=C)C=3C=CC=NC3 |&1:9,11,r|",Z4459611406,4,100,LON-WEI-adc59df6-62
1181202-Y4-02,A06,20200520_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC=2C=CNC2C1)C=3C=CC=NC3,Z4459610240,4,100,LON-WEI-adc59df6-68
1181202-Y4-02,B06,20200520_enamine_to_xchem.csv,CC(C)C1CCCC(CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,Z4459610239,4,100,LON-WEI-adc59df6-67
1181202-Y4-02,C06,20200520_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C1CCC2(CCCC2)C1)C(=O)C=C)C=3C=CC=NC3,Z4459610270,4,100,LON-WEI-adc59df6-92
1181202-Y4-02,D06,20200520_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C1CCC2(CCCC2)CC1)C(=O)C=C)C=3C=CC=NC3,Z4459610272,4,100,LON-WEI-adc59df6-94
1181202-Y4-02,E06,20200520_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(OCC#C)=CC1)C=2C=CC=NC2,Z4459610264,4,100,LON-WEI-adc59df6-87
1181202-Y4-02,F06,20200520_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC=C(C#C)C1)C=2C=CC=NC2,Z4459610284,4,100,LON-WEI-adc59df6-103
1181202-Y4-02,G06,20200520_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)N2CCC2)C=3C=CC=NC3,Z4459610274,4,100,LON-WEI-adc59df6-95
1181202-Y4-02,H06,20200520_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C1COC2(CCC2)C1)C(=O)C=C)C=3C=CC=NC3,Z4459610266,4,100,LON-WEI-adc59df6-89
1181202-Y4-02,I06,20200520_enamine_to_xchem.csv,CN1C=CC=2C=C(C=CC12)N(C(C(=O)NC(C)(C)C)C=3C=CC=NC3)C(=O)C=C,Z4459610285,4,100,LON-WEI-adc59df6-104
1181202-Y4-02,J06,20200520_enamine_to_xchem.csv,OC=1C=CC(=CC1NC(=O)C=C)C(=O)NCC(CC=2C=CC=CC2)C=3C=CC=CN3,JUA-UNI-bc0-5,4,100,JUA-UNI-bc099708-5
1181202-Y4-02,K06,20200520_enamine_to_xchem.csv,CN(C)C(=O)CC1CN(C(=O)C=2C=NN3CCCC23)C=4C=CC(Cl)=CC14,Z2269442666,4,100,RAI-NOV-2f6a9876-1
1181202-Y4-02,L06,20200520_enamine_to_xchem.csv,NC1=C(C#N)C=NN1C=2C=CC=CC2NC(=O)CC3=CC=NN3,BAR-COM-4e0-14,4,100,BAR-COM-4e090d3a-14
1181202-Y4-02,M06,20200520_enamine_to_xchem.csv,CS(=O)(=O)NCCN1CCCC=2C=CC(=CC12)S(=O)(=O)N,DUN-NEW-f8c-14,4,100,DUN-NEW-f8ce3686-14
1181202-Y4-02,N06,20200520_enamine_to_xchem.csv,CC=1C=CC=CC1C(C(=O)NCC(O)CN2C=CN=N2)C=3C=CC=CC3,BAR-COM-4e0-12,4,100,BAR-COM-4e090d3a-12
1181202-Y4-02,O06,20200520_enamine_to_xchem.csv,CN(C(=O)CC1=NOC=2C=CC=CC12)C=3C=CC(NC(=O)OC(C)(C)C)=CC3,s_22____12335866____132823,4,100,AAR-POS-8a4e0f60-9
1181202-Y4-02,P06,20200520_enamine_to_xchem.csv,CN(CC=1C=CC(OCC2=CC=CS2)=CC1)C(=O)CN3N=NC=4C=CC=CC34,s_22____2263492____13206668,4,100,AAR-POS-8a4e0f60-8
1181202-Y4-02,Q06,20200520_enamine_to_xchem.csv,CCN(CC=1C=CC=C(C1)C=2C=CN=CC2)C(=O)CC3=NOC=4C=CC=CC34,s_22____5732348____132823,4,100,AAR-POS-8a4e0f60-2
1181202-Y4-02,R06,20200520_enamine_to_xchem.csv,FC=1C=C(CNC(=O)CN2N=NC=3C=CC=CC23)C=CC1OC=4C=CC=NC4,s_22____1723102____13206668,4,100,AAR-POS-8a4e0f60-10
1181202-Y4-02,S06,20200520_enamine_to_xchem.csv,CC=1C=CC(OC=2C=CC=C(NC(=O)NCC3=CN=NN3C)C2)=C(C)C1,BAR-COM-4e0-48,4,100,BAR-COM-4e090d3a-48
