Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry
1166137-Y4-01,M06,20200409_enamine_to_xchem.csv,Cl.CC(=O)N1CCN(CC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)CC1,,4,50,LON-WEI-b8d98729-4,Achiral
1166137-Y4-01,N06,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3,,4,50,LON-WEI-b8d98729-39,Racemic or presumed racemic or meso
1166137-Y4-01,O06,20200409_enamine_to_xchem.csv,CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C,,4,50,LON-WEI-b8d98729-35,Racemic or presumed racemic or meso
1166137-Y4-01,P06,20200409_enamine_to_xchem.csv,CSC=1C=CC(=CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,,4,50,LON-WEI-b8d98729-6,Racemic or presumed racemic or meso
1166137-Y4-01,Q06,20200409_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3)=C(C)C1,,4,50,LON-WEI-b8d98729-40,Racemic or presumed racemic or meso
1166137-Y4-01,R06,20200409_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)S(F)(F)(F)(F)F)C=2C=CC=NC2,,4,50,LON-WEI-b8d98729-7,Racemic or presumed racemic or meso
1166137-Y4-01,S06,20200409_enamine_to_xchem.csv,ClC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,,4,50,LON-WEI-b8d98729-44,Racemic or presumed racemic or meso
1166137-Y4-01,T06,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3,,4,50,LON-WEI-b8d98729-42,Racemic or presumed racemic or meso
1166137-Y4-01,U06,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3,,4,50,LON-WEI-b8d98729-45,Diastereomeric mixture
1166137-Y4-01,V06,20200409_enamine_to_xchem.csv,COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(OC)=CC2C)C=3C=CC=NC3)C(=O)C=C,,4,50,LON-WEI-b8d98729-8,Diastereomeric mixture
1166137-Y4-01,W06,20200409_enamine_to_xchem.csv,BrC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,,4,50,LON-WEI-b8d98729-9,Racemic or presumed racemic or meso
1166137-Y4-01,X06,20200409_enamine_to_xchem.csv,COC(C)C=1C=CC(=CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,,4,50,LON-WEI-b8d98729-10,Diastereomeric mixture
1166137-Y4-01,Y06,20200409_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3)=CC1,,4,50,LON-WEI-b8d98729-47,Racemic or presumed racemic or meso
1166137-Y4-01,Z06,20200409_enamine_to_xchem.csv,CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,,4,inaccurete ,LON-WEI-b8d98729-11,Racemic or presumed racemic or meso
1166137-Y4-01,AA06,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4,,4,inaccurete ,LON-WEI-b8d98729-48,Racemic or presumed racemic or meso
1166137-Y4-01,AB06,20200409_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=CC1,,4,inaccurete ,LON-WEI-b8d98729-12,Racemic or presumed racemic or meso
1166137-Y4-01,AC06,20200409_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)=C(C)C1,,4,inaccurete ,LON-WEI-b8d98729-43,Racemic or presumed racemic or meso
1166137-Y4-01,AD06,20200409_enamine_to_xchem.csv,CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=C(F)C2C)C=3C=CC=NC3)C(=O)C=C,,4,inaccurete ,LON-WEI-b8d98729-36,Racemic or presumed racemic or meso
1166137-Y4-01,AE06,20200409_enamine_to_xchem.csv,CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,,4,inaccurete ,LON-WEI-b8d98729-13,Racemic or presumed racemic or meso
1166137-Y4-01,AF06,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3,,4,inaccurete ,LON-WEI-b8d98729-46,Racemic or presumed racemic or meso
1166137-Y4-01,A07,20200409_enamine_to_xchem.csv,CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C,,4,inaccurete ,LON-WEI-b8d98729-14,Racemic or presumed racemic or meso
1166137-Y4-01,B07,20200409_enamine_to_xchem.csv,FC(F)(F)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,,4,inaccurete ,LON-WEI-b8d98729-41,Racemic or presumed racemic or meso
1166137-Y4-01,C07,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)C1,,4,inaccurete ,LON-WEI-b8d98729-15,Racemic or presumed racemic or meso
1166137-Y4-01,D07,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)C1,,4,inaccurete ,LON-WEI-b8d98729-16,Racemic or presumed racemic or meso
1166137-Y4-01,E07,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3)C1,,4,inaccurete ,LON-WEI-b8d98729-17,Diastereomeric mixture
1166137-Y4-01,F07,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3,,4,inaccurete ,LON-WEI-b8d98729-18,Racemic or presumed racemic or meso
1166137-Y4-01,G07,20200409_enamine_to_xchem.csv,COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,,4,inaccurete ,LON-WEI-b8d98729-19,Diastereomeric mixture
1166137-Y4-01,H07,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C2=CC(=NN2)C(C)(C)C)C=3C=CC=NC3,,4,inaccurete ,LON-WEI-b8d98729-20,Racemic or presumed racemic or meso
1166137-Y4-01,I07,20200409_enamine_to_xchem.csv,CC(C)(C)C=1C=C(NN1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,,4,inaccurete ,LON-WEI-b8d98729-21,Racemic or presumed racemic or meso
1166137-Y4-01,J07,20200409_enamine_to_xchem.csv,COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,,4,inaccurete ,LON-WEI-b8d98729-22,Diastereomeric mixture
1166137-Y4-01,K07,20200409_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=C(ON1)C(C)(C)C)C=2C=CC=NC2,,4,inaccurete ,LON-WEI-b8d98729-23,Racemic or presumed racemic or meso
1166137-Y4-01,L07,20200409_enamine_to_xchem.csv,CSC=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,,4,inaccurete ,LON-WEI-b8d98729-24,Racemic or presumed racemic or meso
1166137-Y4-01,M07,20200409_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,,4,inaccurete ,LON-WEI-b8d98729-25,Racemic or presumed racemic or meso
1166137-Y4-01,N07,20200409_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3)=C(C)C1,,4,inaccurete ,LON-WEI-b8d98729-26,Racemic or presumed racemic or meso
1166137-Y4-01,O07,20200409_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=C(C)C1,,4,inaccurete ,LON-WEI-b8d98729-28,Racemic or presumed racemic or meso
1166137-Y4-01,P07,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3,,4,inaccurete ,LON-WEI-b8d98729-29,Racemic or presumed racemic or meso
1166137-Y4-01,Q07,20200409_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)=C(C)C1,,4,inaccurete ,LON-WEI-b8d98729-30,Racemic or presumed racemic or meso
