SMILES,shipment_ID,plate_ID,well,Raw signal @20 µM,Relative solubility @20 µM,Raw signal @100 µM,Relative solubility @100 µM,100 µM / 20 µM
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,Z4438424264,1166137-COVID-19-01,D10,20,0.85,43,0.68,0.03
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,Z4438424283,1166137-COVID-19-01,C08,18,0.87,42,0.69,0.04
O=C(Nc1ccccc1Cl)c1cc(Cl)ccc1O,CHR-SOS-709-4,1166137-COVID-19-01,A06,13,0.91,40,0.7,0.05
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,Z4439011546,1166137-COVID-19-01,D09,22,0.83,40,0.71,0.03
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,Z4439011603,1166137-COVID-19-01,F09,18,0.86,38,0.72,0.04
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,Z4439011585,1166137-COVID-19-01,H11,20,0.85,37,0.73,0.04
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,Z4439011560,1166137-COVID-19-01,A10,21,0.84,36,0.74,0.04
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,Z4439011539,1166137-COVID-19-01,D02,21,0.84,35,0.75,0.04
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,Z4438424253,1166137-COVID-19-01,G11,12,0.92,34,0.75,0.06
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,Z4438424286,1166137-COVID-19-01,B11,21,0.84,33,0.76,0.04
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,Z4439011525,1166137-COVID-19-01,C10,17,0.87,33,0.76,0.04
NS(=O)(=O)c1ccc(N2CCC(c3ccsc3)CC2)cc1,WAR-XCH-b72-16,1166137-COVID-19-02,E02,5,0.98,34,0.76,0.15
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,Z4439011547,1166137-COVID-19-02,G11,16,0.88,33,0.77,0.05
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,Z4439011586,1166137-COVID-19-01,D08,14,0.9,32,0.77,0.06
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,Z4439011540,1166137-COVID-19-01,A09,13,0.91,32,0.77,0.06
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,Z4438424285,1166137-COVID-19-01,B09,17,0.88,31,0.78,0.05
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,Z4439011584,1166137-COVID-19-01,H10,11,0.92,30,0.78,0.07
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccccc1Br)c1cccnc1,Z4438424214,1166137-COVID-19-01,G09,19,0.86,29,0.79,0.04
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,Z4439011578,1166137-COVID-19-01,F07,15,0.89,29,0.79,0.05
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,GER-UNI-05c-1,1166137-COVID-19-01,G06,13,0.91,29,0.79,0.06
Nc1nnnn1-c1cccc(C(=O)Nc2c(-c3cccnc3)nc3ccccn23)c1,BAR-COM-4e0-2,1166137-COVID-19-02,H03,4,0.98,31,0.79,0.2
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,Z4438424265,1166137-COVID-19-01,E10,12,0.92,26,0.82,0.07
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,Z4438424254,1166137-COVID-19-01,A12,18,0.87,24,0.83,0.05
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,Z4438424211,1166137-COVID-19-01,B10,9,0.94,24,0.83,0.09
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,Z56955922,1166137-COVID-19-02,A10,8,0.95,25,0.83,0.1
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,Z4438424215,1166137-COVID-19-01,G10,15,0.89,23,0.84,0.06
Cc1ccc(NC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)cc1,WAR-XCH-b68-25,1166137-COVID-19-02,D11,11,0.92,24,0.84,0.08
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,Z4438424250,1166137-COVID-19-01,A08,9,0.95,23,0.84,0.09
COc1ccc2[nH]cc(CCNS(C)(=O)=O)c2c1,MAR-UNI-9ca-1,1166137-COVID-19-01,E05,11,0.92,20,0.86,0.08
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,Z4439011613,1166137-COVID-19-01,H08,5,0.98,20,0.86,0.17
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,Z4439011543,1166137-COVID-19-01,E11,12,0.92,19,0.87,0.07
Cc1cccc(NC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)c1,WAR-XCH-b68-27,1166137-COVID-19-02,F02,7,0.96,20,0.87,0.12
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,Z4439011587,1166137-COVID-19-01,E08,7,0.96,19,0.87,0.12
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,MAK-UNK-643-6-2,1166137-COVID-19-02,B02,7,0.96,18,0.88,0.13
N#Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,WAR-XCH-eb7-2,1166137-COVID-19-02,B09,4,0.99,18,0.88,0.22
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,Z4444602594,1166137-COVID-19-02,E11,7,0.96,17,0.89,0.13
O=C(Nc1cccnc1)c1cc(Cl)ccc1O,CHR-SOS-709-11,1166137-COVID-19-01,E04,3,1.0,16,0.89,0.3
O=C(Nc1ccccc1)c1cc(Cl)ccc1O,CHR-SOS-709-7,1166137-COVID-19-01,F04,2,1.0,17,0.89,0.45
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,Z4439011611,1166137-COVID-19-01,B08,4,0.98,15,0.9,0.23
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,Z4439011581,1166137-COVID-19-01,H09,3,0.99,16,0.9,0.3
Cc1ccccc1NC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b68-30,1166137-COVID-19-02,E08,12,0.91,15,0.91,0.08
COc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,LV-UNI-7ff-47,1166137-COVID-19-02,C05,8,0.95,15,0.91,0.11
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,Z4439011607,1166137-COVID-19-01,C11,4,0.98,14,0.91,0.23
NS(=O)(=O)c1ccc(N2CCC(CN3CCCCCC3)CC2)cc1,WAR-XCH-b72-20,1166137-COVID-19-02,G04,4,0.99,14,0.91,0.23
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,Z4438424252,1166137-COVID-19-01,C02,10,0.94,12,0.92,0.09
CC(c1cccc(NC(=O)Cc2cnccc2Cl)c1)N1CCOCC1,BAR-COM-4e0-66,1166137-COVID-19-02,E06,5,0.97,13,0.92,0.18
O=C(Nc1cccnc1)c1cccc(Cl)c1,CHR-SOS-709-12,1166137-COVID-19-01,A05,3,1.0,13,0.92,0.31
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,Z4439011523,1166137-COVID-19-01,F11,5,0.98,12,0.93,0.19
NC(=O)C1Cc2ccccc2N(CC(=O)Nc2cnccn2)C1,BAR-COM-4e0-21,1166137-COVID-19-02,G05,2,1.0,12,0.93,0.47
Cc1ccccc1CNc1ccccc1NC(=O)C(O)c1cccnc1,BAR-COM-4e0-3,1166137-COVID-19-02,C07,8,0.95,11,0.94,0.12
COc1cccc(NC(=O)Nc2cccc(C#N)c2)c1,ANN-UNI-263-6,1166137-COVID-19-02,B06,7,0.96,11,0.94,0.13
O=C(Cc1cncnc1)Nc1cccc(CCCc2ccccc2)c1,BAR-COM-4e0-11,1166137-COVID-19-02,E07,7,0.96,11,0.94,0.13
Cc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,LV-UNI-7ff-45,1166137-COVID-19-01,F05,5,0.98,10,0.94,0.19
Cc1noc(C)c1COc1ccccc1C(=O)NC(C)c1nnc2ncccn12,BAR-COM-4e0-9,1166137-COVID-19-02,E04,3,0.99,11,0.94,0.31
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)NC(C)(C)C)c1cccnc1,Z4439011612,1166137-COVID-19-02,F11,4,0.98,10,0.95,0.24
O=C(Nc1cccnc1)Nc1ccc(Cl)s1,DAR-DIA-842-4,1166137-COVID-19-02,D09,3,0.99,9,0.95,0.32
N#Cc1cccc(NC(=O)Cc2c[nH]c3ncccc23)c1,DAR-DIA-23a-1,1166137-COVID-19-01,D07,3,1.0,8,0.95,0.32
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,TRY-UNI-714-12,1166137-COVID-19-02,E09,3,0.99,8,0.96,0.32
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,Z30450892,1166137-COVID-19-02,C10,4,0.99,8,0.96,0.24
Cc1ccc(NC(=O)Nc2cccnc2)s1,DAR-DIA-842-3,1166137-COVID-19-02,F08,3,1.0,8,0.96,0.32
CC(=O)N1CCN(Cc2cn(-c3cccc(S(N)(=O)=O)c3)nn2)CC1,NIM-UNI-022-3,1166137-COVID-19-02,A11,8,0.95,7,0.97,0.12
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,Z4439011582,1166137-COVID-19-01,C09,6,0.97,7,0.97,0.16
O=C(Cc1c[nH]c2ncccc12)Nc1cccc(Cl)c1,DAR-DIA-23a-12,1166137-COVID-19-01,G03,4,0.99,6,0.97,0.24
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,Z4438424255,1166137-COVID-19-01,F08,3,0.99,7,0.97,0.32
O=C(NCc1ccns1)Nc1cccc(CN2CCCC2=O)c1,BAR-COM-4e0-61,1166137-COVID-19-02,G06,3,1.0,6,0.97,0.32
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,DAR-DIA-23a-19,1166137-COVID-19-02,D04,3,0.99,5,0.98,0.33
Cc1cccc(C)c1OCC(=O)NCCc1ccccc1,ALE-UNK-fca-3,1166137-COVID-19-02,F04,3,1.0,6,0.98,0.33
CC(C(=O)Nc1cccc(NC2CCCC2)c1)c1cnccn1,BAR-COM-4e0-20,1166137-COVID-19-02,B05,3,1.0,6,0.98,0.33
CC1CN(Cc2ccccc2NC(=O)NCc2cnsc2)CC(C)O1,BAR-COM-4e0-4,1166137-COVID-19-02,H06,3,1.0,5,0.98,0.33
O=C(Cc1cncc2ccccc12)Nc1ccccc1,DAR-DIA-23a-20,1166137-COVID-19-02,A03,3,1.0,6,0.98,0.33
Cc1ncncc1NC(=O)Nc1ccccc1,HAN-NEW-5f5-1,1166137-COVID-19-02,H09,4,0.99,4,0.99,0.25
Cc1nnc(NC(=O)Nc2cccnc2)s1,ALE-HEI-f28-4,1166137-COVID-19-02,C09,2,1.0,4,0.99,0.5
Cc1nnc(CC(=O)Nc2cccnc2)s1,ALE-HEI-f28-5,1166137-COVID-19-02,G07,2,1.0,4,0.99,0.5
CCC(NC(=O)C(C)n1cncn1)c1ccccc1OCC(=O)N1CCCC1,BAR-COM-4e0-31,1166137-COVID-19-02,D03,3,1.0,4,0.99,0.33
O=C(NCc1cccnn1)Nc1cccc(OCCN2CCOCC2)c1,BAR-COM-4e0-54,1166137-COVID-19-02,H08,3,1.0,4,0.99,0.33
O=C(COc1ccccc1)NCCc1ccccc1,ALE-UNK-fca-4,1166137-COVID-19-02,B08,3,1.0,3,1.0,0.33
CCCNC(=O)C(C)NC(=O)N(C)Cc1csc(C)n1,ALE-UNK-fca-9,1166137-COVID-19-01,C05,2,1.0,3,1.0,0.5
N#Cc1ccc(NC(=O)Nc2cccnc2)cc1,ANN-UNI-263-3,1166137-COVID-19-01,D04,3,1.0,3,1.0,0.33
N#Cc1cccc(CC(=O)Nc2cccnc2)c1,ANN-UNI-263-5,1166137-COVID-19-02,F07,2,1.0,3,1.0,0.5
CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1,ANT-DIA-3c7-4,1166137-COVID-19-01,A03,2,1.0,3,1.0,0.5
CS(=O)(=O)NCCc1cccc(O)c1,ANT-DIA-b7f-2,1166137-COVID-19-02,F09,3,1.0,3,1.0,0.33
O=C(CCc1c[nH]nn1)NC(Cn1cccn1)c1ccccc1,BAR-COM-4e0-30,1166137-COVID-19-02,E10,3,1.0,3,1.0,0.33
O=C(NCC(O)Cn1ccnn1)c1ccccc1OC1CCC1,BAR-COM-4e0-34,1166137-COVID-19-02,B07,2,1.0,3,1.0,0.5
O=C(Cc1cncnc1)Nc1cccc(OC2CC(=O)N2)c1,BAR-COM-4e0-39,1166137-COVID-19-02,H02,3,1.0,3,1.0,0.33
O=C(CCn1ccnn1)NC(CN1CCOCC1)c1ccccc1,BAR-COM-4e0-45,1166137-COVID-19-02,C08,2,1.0,3,1.0,0.5
N#CCOc1ccccc1C(=O)NCc1cnsc1,BAR-COM-4e0-49,1166137-COVID-19-02,C03,2,1.0,3,1.0,0.5
CCn1c(=O)n(CC(=O)NCc2cnccn2)c2ccccc21,BAR-COM-4e0-51,1166137-COVID-19-02,D07,2,1.0,3,1.0,0.5
O=C(NCc1cccnn1)Nc1cccc(N2CCC2=O)c1,BAR-COM-4e0-60,1166137-COVID-19-02,H10,2,1.0,3,1.0,0.5
CC(NC(=O)c1ccccc1OCC(N)=O)c1cnn(C)c1,BAR-COM-4e0-62,1166137-COVID-19-02,B03,3,1.0,3,1.0,0.33
O=C(NCc1cccnc1)Nc1cccc(OCC(F)F)n1,BAR-COM-4e0-69,1166137-COVID-19-02,G08,3,1.0,3,1.0,0.33
N#Cc1cncc(CC(=O)Nc2cccnc2)c1,DAR-DIA-23a-17,1166137-COVID-19-02,G03,3,1.0,3,1.0,0.33
O=C(Cc1ccc(Cl)s1)Nc1cccnc1,DAR-DIA-842-13,1166137-COVID-19-01,B03,3,1.0,3,1.0,0.33
Cc1coc(NC(=O)Nc2cccnc2)n1,DAR-DIA-842-7,1166137-COVID-19-02,G09,2,1.0,3,1.0,0.5
O=C(NCc1cncs1)Nc1cccc(N2CCOCC2)c1,BAR-COM-4e0-58,1166137-COVID-19-02,D06,3,1.0,2,1.01,0.34
Cc1ccncc1NC(=O)Cc1ccc(S(N)(=O)=O)cc1,GAB-REV-70c-20,1166137-COVID-19-02,A05,2,1.0,3,1.0,0.5
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,GER-UNI-ec7-1,1166137-COVID-19-01,B05,2,1.0,5,0.98,0.49
O=C(c1ccccc1)N1CCN(C(=O)C2CCOCC2)CC1,GIA-UNK-eaa-1,1166137-COVID-19-02,E03,3,1.0,3,1.0,0.33
O=C(C1CCN(S(=O)(=O)c2ccccc2)CC1)N1CCOCC1,GIA-UNK-eaa-3,1166137-COVID-19-02,B10,3,1.0,4,0.99,0.33
CC(=O)N1CCN(CC(=O)Nc2cccc(S(N)(=O)=O)c2)CC1,JAN-GHE-1d9-7,1166137-COVID-19-01,E07,2,1.0,3,1.0,0.5
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,JOH-MSK-35a-1,1166137-COVID-19-01,F06,2,1.0,3,0.99,0.5
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,JOH-MSK-ec6-2,1166137-COVID-19-01,A07,2,1.0,2,1.0,0.5
CC(=O)N1CCN(C(=O)Cc2ccccn2)CC1,JON-UIO-066-3,1166137-COVID-19-02,F05,2,1.0,2,1.0,0.5
Cc1ccccc1CN1CCN(C(=O)C(F)C(C)C)CC1,JON-UIO-066-9,1166137-COVID-19-02,F06,2,1.0,2,1.0,0.5
CC(=O)N1CCN(S(=O)(=O)c2cccs2)CC1,MAK-UNK-643-1,1166137-COVID-19-01,G05,2,1.0,2,1.0,0.5
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,MAK-UNK-643-1-2,1166137-COVID-19-02,C02,3,1.0,3,1.0,0.33
O=C(CCl)N1CCN(Cc2cccs2)CC1,MAK-UNK-643-2,1166137-COVID-19-02,F10,2,1.0,3,1.0,0.5
O=C(CCl)N1CCN(Cc2ccsc2)CC1,MAK-UNK-643-3,1166137-COVID-19-02,G10,3,1.0,4,0.99,0.33
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,MAK-UNK-643-4,1166137-COVID-19-02,A02,3,1.0,3,1.0,0.33
CC(=O)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,MAK-UNK-643-5,1166137-COVID-19-01,G04,2,1.0,2,1.0,0.5
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,MAK-UNK-643-5-2,1166137-COVID-19-02,D02,3,1.0,3,1.0,0.33
CC(=O)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,MAK-UNK-643-6,1166137-COVID-19-02,E05,2,1.0,3,1.0,0.5
CS(=O)(=O)Nc1cccc(C(=O)Nc2cccc(N3CCCC3=O)c2)c1,MAK-UNK-915-6,1166137-COVID-19-01,H04,3,1.0,4,0.99,0.33
C#Cc1ccc(CNC(=O)N2CCOCC2)cc1,PAT-GYR-359-1,1166137-COVID-19-02,A06,2,1.0,3,1.0,0.5
CC(=O)N1CCN(Cc2cccc(C#N)c2)CC1,PAT-UNK-b2d-1,1166137-COVID-19-01,B04,3,1.0,4,0.99,0.33
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,Piperine,1166137-COVID-19-01,D05,2,1.0,6,0.97,0.49
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,TOM-OIS-cbf-2,1166137-COVID-19-01,D06,2,1.0,3,1.0,0.5
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cn1,TRY-UNI-1fd-11,1166137-COVID-19-01,C07,2,1.0,3,1.0,0.5
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)nc1,TRY-UNI-1fd-12,1166137-COVID-19-01,B07,2,1.0,3,1.0,0.5
O=C(Cc1c[nH]c2ncccc12)NCc1cccc(Cl)c1,TRY-UNI-1fd-5,1166137-COVID-19-01,A04,3,1.0,7,0.96,0.32
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cc1,TRY-UNI-1fd-7,1166137-COVID-19-01,F03,2,1.0,8,0.95,0.48
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)cc1,TRY-UNI-1fd-8,1166137-COVID-19-01,D03,2,1.0,4,0.99,0.5
O=C(Cc1c[nH]c2ncccc12)NCc1cc(Cl)ccn1,TRY-UNI-1fd-9,1166137-COVID-19-01,C03,3,1.0,5,0.98,0.33
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,TRY-UNI-714-18,1166137-COVID-19-01,H03,2,1.0,3,1.0,0.5
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,TRY-UNI-714-20,1166137-COVID-19-02,B04,2,1.0,2,1.01,0.51
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,TRY-UNI-714-22,1166137-COVID-19-02,A07,3,1.0,2,1.0,0.33
Cc1ccncc1NC(=O)Nc1cccc(C#N)c1,TRY-UNI-714-24,1166137-COVID-19-02,A09,3,1.0,6,0.97,0.32
Cc1ccncc1NC(=O)Cc1ccccc1,TRY-UNI-714-5,1166137-COVID-19-02,C11,2,1.0,2,1.0,0.5
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,TRY-UNI-714-6,1166137-COVID-19-01,E03,2,1.0,3,1.0,0.5
CNS(=O)(=O)c1ccc(C(C)NC(=O)NC(C)(C)C)cc1,VIJ-CYC-1a3-11,1166137-COVID-19-02,C06,3,1.0,3,1.0,0.33
C=C1CC1C(=O)NC(C)c1ccc(S(=O)(=O)NC)cc1,VIJ-CYC-1a3-5,1166137-COVID-19-02,H04,2,1.0,3,1.0,0.5
O=C(CCl)N1CCC(C(=O)N2CCCCC2)CC1,VIR-GIT-7b3-2,1166137-COVID-19-01,B06,3,1.0,3,1.0,0.33
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,VIR-GIT-7b3-3,1166137-COVID-19-01,H05,2,1.0,3,1.0,0.5
CC(C)NC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b68-23,1166137-COVID-19-02,D05,2,1.0,5,0.98,0.49
NS(=O)(=O)c1ccc(N2CCC(CO)CC2)cc1,WAR-XCH-b72-14,1166137-COVID-19-02,A04,2,1.0,3,1.0,0.5
NS(=O)(=O)c1ccc(N2CCC(c3ccncc3)CC2)cc1,WAR-XCH-b72-15,1166137-COVID-19-02,F03,3,1.0,11,0.94,0.31
CCN(C)CC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72-49,1166137-COVID-19-02,C04,3,1.0,5,0.98,0.33
NS(=O)(=O)c1ccc(N2CCC(c3ccco3)CC2)cc1,WAR-XCH-b72-7,1166137-COVID-19-02,G02,2,1.0,25,0.83,0.42
COC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72-9,1166137-COVID-19-02,B11,3,1.0,3,1.0,0.33
N#Cc1cccc(NC(=O)Nc2cccnc2)c1,WAR-XCH-eb7-1,1166137-COVID-19-01,C04,2,1.0,3,1.0,0.5
CCC(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,Z1515385090,1166137-COVID-19-01,H06,3,1.0,13,0.92,0.31
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,Z4439011520,1166137-COVID-19-01,E09,3,1.0,14,0.91,0.3
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,Z4439011588,1166137-COVID-19-01,F10,2,1.0,9,0.95,0.48
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,Z4439011605,1166137-COVID-19-01,H07,3,1.0,4,0.99,0.33
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)NC(C)(C)C)c1cccnc1,Z4439011608,1166137-COVID-19-01,A02,2,1.0,3,1.0,0.5
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)NC(C)(C)C)c1cccnc1,Z4439011614,1166137-COVID-19-01,B02,2,1.0,3,0.99,0.5
