SMILES,AVG % Inhibition at 20 uM,STD DEV % Inhibition at 20 uM,N at 20 uM,AVG % Inhibition at 50 uM,STD DEV % Inhibition at 50 uM,N at 50 uM,CID
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,12.7,2.36,2,27.2,0.674,2,LON-WEI-8f408cad-8
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,97.3,0.758,2,99,0.178,2,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,99.3,0.268,2,99.6,0.0712,2,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,98.7,0.169,2,99.3,0.28,2,AAR-POS-d2a4d1df-32
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,2.56,1.02,2,7.05,2.55,2,LON-WEI-8f408cad-10
Cc1ccccc1CN1CCN(C(=O)C(F)C(C)C)CC1,2.74,0.581,2,6.7,0.127,2,JON-UIO-066ce08b-9
CC(=O)N1CCN(C(=O)Cc2ccccn2)CC1,-0.517,1.67,2,3.52,0.855,2,JON-UIO-066ce08b-3
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,0.473,4.55,2,6.69,0.651,2,JOH-MSK-ec639444-2
CC(=O)N1CCN(CC(=O)Nc2cccc(S(N)(=O)=O)c2)CC1,-3.12,2.66,2,2.63,0.332,2,JAN-GHE-1d98ec1c-7
Cc1ncncc1NC(=O)Nc1ccccc1,-2.06,0.489,2,-0.628,0.645,2,HAN-NEW-5f56c3bc-1
O=C(C1CCN(S(=O)(=O)c2ccccc2)CC1)N1CCOCC1,1.87,0.14,2,5.52,0.277,2,GIA-UNK-eaadd1d4-3
O=C(c1ccccc1)N1CCN(C(=O)C2CCOCC2)CC1,2.9,1.43,2,6.27,1.02,2,GIA-UNK-eaadd1d4-1
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,-0.548,0.936,2,3.97,0.598,2,AAR-POS-fca48359-19
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,6.23,0.227,2,11.9,0.592,2,GER-UNI-05c7e912-1
Cc1ccncc1NC(=O)Cc1ccc(S(N)(=O)=O)cc1,4.76,1.42,2,10.9,0.786,2,GAB-REV-70cc3ca5-20
Cc1coc(NC(=O)Nc2cccnc2)n1,2.91,1.58,2,8.86,1,2,DAR-DIA-842b4336-7
O=C(Nc1cccnc1)Nc1ccc(Cl)s1,8.85,1.1,2,23.7,0.259,2,DAR-DIA-842b4336-4
Cc1ccc(NC(=O)Nc2cccnc2)s1,1.9,0.0997,2,11.3,0.612,2,DAR-DIA-842b4336-3
O=C(Cc1ccc(Cl)s1)Nc1cccnc1,0.922,2.19,2,11.5,1.87,2,DAR-DIA-842b4336-13
O=C(Cc1cncc2ccccc12)Nc1ccccc1,31.6,1.34,2,57.8,0.318,2,DAR-DIA-23aa0b97-20
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,48.7,0.877,2,73,0.425,2,DAR-DIA-23aa0b97-19
N#Cc1cncc(CC(=O)Nc2cccnc2)c1,6.61,1.66,2,21.8,0.112,2,DAR-DIA-23aa0b97-17
O=C(Cc1c[nH]c2ncccc12)Nc1cccc(Cl)c1,5.95,0.725,2,9.34,0.727,2,DAR-DIA-23aa0b97-12
N#Cc1cccc(NC(=O)Cc2c[nH]c3ncccc23)c1,2.74,4.51,2,2.91,1.69,2,DAR-DIA-23aa0b97-1
O=C(Nc1ccccc1)c1cc(Cl)ccc1O,3.75,1.9,2,8.41,0.723,2,CHR-SOS-7098f804-7
O=C(Nc1ccccc1Cl)c1cc(Cl)ccc1O,5.47,3.87,2,5.58,1.3,2,CHR-SOS-7098f804-4
O=C(Nc1cccnc1)c1cccc(Cl)c1,5.47,4.83,2,6.67,1.98,2,CHR-SOS-7098f804-12
O=C(Nc1cccnc1)c1cc(Cl)ccc1O,18.3,5.97,2,22.8,0.315,2,CHR-SOS-7098f804-11
Cc1noc(C)c1COc1ccccc1C(=O)NC(C)c1nnc2ncccn12,2.22,1.14,2,8.28,1.57,2,BAR-COM-4e090d3a-9
O=C(NCc1cccnc1)Nc1cccc(OCC(F)F)n1,3.33,1.47,2,8.28,1.36,2,BAR-COM-4e090d3a-69
CC(c1cccc(NC(=O)Cc2cnccc2Cl)c1)N1CCOCC1,2.12,1.78,2,3.92,0.0791,2,BAR-COM-4e090d3a-66
O=C(NCc1cnccn1)c1sc2cccc(F)c2c1COc1ccccc1,-1.73,10.3,2,6.32,6.99,2,BAR-COM-4e090d3a-64
CC(NC(=O)c1ccccc1OCC(N)=O)c1cnn(C)c1,-1.52,1.86,2,2.68,0.263,2,BAR-COM-4e090d3a-62
O=C(NCc1ccns1)Nc1cccc(CN2CCCC2=O)c1,-0.28,2.18,2,-2.05,4.67,2,BAR-COM-4e090d3a-61
O=C(NCc1cccnn1)Nc1cccc(N2CCC2=O)c1,3.61,0.361,2,6.82,1.29,2,BAR-COM-4e090d3a-60
O=C(NCc1cncs1)Nc1cccc(N2CCOCC2)c1,5.65,0.438,2,13.6,0.678,2,BAR-COM-4e090d3a-58
O=C(NCc1cccnn1)Nc1cccc(OCCN2CCOCC2)c1,1.16,0.388,2,1.22,0.671,2,BAR-COM-4e090d3a-54
CCn1c(=O)n(CC(=O)NCc2cnccn2)c2ccccc21,1.73,2.23,2,6.74,0.836,2,BAR-COM-4e090d3a-51
N#CCOc1ccccc1C(=O)NCc1cnsc1,2.21,1.97,2,5.96,0.936,2,BAR-COM-4e090d3a-49
O=C(CCn1ccnn1)NC(CN1CCOCC1)c1ccccc1,2.31,2.35,2,5.19,0.0531,2,BAR-COM-4e090d3a-45
O=C(NCc1noc2ccccc12)c1ccccc1OCC1CC1,5.31,0.679,2,11.7,1.64,2,BAR-COM-4e090d3a-43
CC1CN(Cc2ccccc2NC(=O)NCc2cnsc2)CC(C)O1,1.48,1.34,2,4.44,0.203,2,BAR-COM-4e090d3a-4
O=C(Cc1cncnc1)Nc1cccc(OC2CC(=O)N2)c1,7.86,1.84,2,22.8,6.11,2,BAR-COM-4e090d3a-39
O=C(NCC(O)Cn1ccnn1)c1ccccc1OC1CCC1,-1.11,0.298,2,2.04,0.416,2,BAR-COM-4e090d3a-34
CCC(NC(=O)C(C)n1cncn1)c1ccccc1OCC(=O)N1CCCC1,-0.907,0.797,2,0.701,0.541,2,BAR-COM-4e090d3a-31
O=C(CCc1cnn[nH]1)NC(Cn1cccn1)c1ccccc1,-1.52,2.71,2,-1.11,1.55,2,LON-WEI-8f408cad-6
Cc1ccccc1CNc1ccccc1NC(=O)C(O)c1cccnc1,-0.056,1.08,2,7.28,1.53,2,BAR-COM-4e090d3a-3
NC(=O)C1Cc2ccccc2N(CC(=O)Nc2cnccn2)C1,0.0292,5.71,2,6.19,1.71,2,BAR-COM-4e090d3a-21
CC(C(=O)Nc1cccc(NC2CCCC2)c1)c1cnccn1,-2.77,1.4,2,0.913,1.17,2,BAR-COM-4e090d3a-20
Nc1nnnn1-c1cccc(C(=O)Nc2c(-c3cccnc3)nc3ccccn23)c1,-2.5,0.808,2,2.69,2.07,2,BAR-COM-4e090d3a-2
O=C(Cc1cccnc1Cl)Nc1cccc(OCCc2ccccc2)c1,1.54,1.06,2,6.9,0.335,2,BAR-COM-4e090d3a-15
O=C(Cc1cncnc1)Nc1cccc(CCCc2ccccc2)c1,1.12,2.19,2,10.1,0.911,2,BAR-COM-4e090d3a-11
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,4.66,5.34,2,2.38,1.67,2,ANT-OPE-47f3bb65-1
CS(=O)(=O)NCCc1cccc(O)c1,-1.8,0.0968,2,0.0445,0.735,2,ANT-DIA-b7f58f21-2
CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1,0.469,4.68,2,6.26,0.497,2,ANT-DIA-3c79be55-4
COc1cccc(NC(=O)Nc2cccc(C#N)c2)c1,5.11,0.0988,2,9.79,0.332,2,ANN-UNI-26382800-6
N#Cc1cccc(CC(=O)Nc2cccnc2)c1,11.4,1.42,2,25,0.939,2,ANN-UNI-26382800-5
N#Cc1cccc(NC(=O)Nc2cccnc2)c1,6.21,4.27,2,10.3,1.53,2,ANN-UNI-26382800-4
N#Cc1ccc(NC(=O)Nc2cccnc2)cc1,5.82,0.482,2,11.6,0.824,2,ANN-UNI-26382800-3
CCCNC(=O)C(C)NC(=O)N(C)Cc1csc(C)n1,0.814,2.71,2,-2.74,0.376,2,ALE-UNK-fca05062-9
O=C(COc1ccccc1)NCCc1ccccc1,-0.178,1.95,2,-0.0738,2.77,2,ALE-UNK-fca05062-4
Cc1cccc(C)c1OCC(=O)NCCc1ccccc1,1.78,1.98,2,7.25,1.1,2,ALE-UNK-fca05062-3
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,2.31,0.138,2,6.72,0.179,2,ALE-UNK-fca05062-2
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,7.22,1.3,2,13,1.35,2,ALE-UNK-fca05062-1
Cc1nnc(CC(=O)Nc2cccnc2)s1,-1.16,0.562,2,-0.0294,0.492,2,ALE-HEI-f28a35b5-5
Cc1nnc(NC(=O)Nc2cccnc2)s1,1.19,0.867,2,7.32,0.613,2,ALE-HEI-f28a35b5-4
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,1.37,3.81,2,-0.962,1.03,2,ALE-ACE-2610ee4d-1
COc1ccc2nc(C)cc(C(=O)NN)c2c1,,,,17.9,1.08,2,MAT-POS-4e253971-3
C=CC(=O)N1CCN(Cc2cc(Cl)cc3ccccc23)CC1,,,,27,1.8,2,MAT-POS-4e253971-2
N#CCN1CCN(Cc2cc(Cl)cc3ccccc23)CC1,,,,-1.08,0.303,2,MAT-POS-4e253971-1
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,,,,-20.7,9.17,2,LON-WEI-d1c9908a-9
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,,,,8.55,0.383,2,LON-WEI-d1c9908a-8
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,,,,28.7,1.17,2,LON-WEI-d1c9908a-7
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,,,,49,2.56,2,LON-WEI-d1c9908a-6
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,,,,39.3,2.57,2,LON-WEI-d1c9908a-5
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,,,,1.72,1.59,2,LON-WEI-d1c9908a-4
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,,,,46.5,0.249,2,LON-WEI-d1c9908a-3
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,,,,9.66,0.849,2,LON-WEI-d1c9908a-2
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,,,,19.6,1.02,2,LON-WEI-d1c9908a-13
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,,,,20.7,0.213,2,LON-WEI-d1c9908a-12
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,,,,42.5,4.38,2,LON-WEI-d1c9908a-11
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,,,,10.2,0.324,2,LON-WEI-d1c9908a-10
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,,,,25.8,0.0492,2,LON-WEI-d1c9908a-1
