shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Comment
CHO-MSK-6e55470f-22,Z4623427646,C25H22ClN3O4,Achiral,463.912,95,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_E,COC=1C=CC(=CC1)C=2C=C(COC=3C=C(Cl)C=C(CC(=O)NC=4C=NC=CC4C)C3)ON2,"2-(3-chloro-5-{[3-(4-methoxyphenyl)-1,2-oxazol-5-yl]methoxy}phenyl)-N-(4-methylpyridin-3-yl)acetamide",DMSO-d6
MAT-POS-f2460aef-5,Z4638574269,C29H30FN5O2,Racemic or presumed racemic or meso,499.579,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_F,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C=4C=NNC4,2-[N-(4-tert-butylphenyl)-1-(1H-pyrazol-4-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,DMSO-d6
MAT-POS-f2460aef-4,Z4638571691,C30H29ClFN3O3,Racemic or presumed racemic or meso,534.020,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_G,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CC=C(Cl)O4,2-[N-(4-tert-butylphenyl)-1-(5-chlorofuran-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,DMSO-d6
MAT-POS-f2460aef-3,Z4638576909,C29H30FN5O2,Racemic or presumed racemic or meso,499.579,93.65,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_H,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CNC=N4,2-[N-(4-tert-butylphenyl)-1-(1H-imidazol-4-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,DMSO-d6
WIL-MOD-03b86a88-5,Z4609618525,C15H16ClN3O3S,Achiral,353.823,93.21,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_I,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(NS(=O)(=O)C)C2,2-(3-chloro-5-methanesulfonamidophenyl)-N-(4-methylpyridin-3-yl)acetamide,DMSO-d6
CHO-MSK-6e55470f-7,Z4623427637,C23H25ClN4O3,Achiral,440.922,98.62,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_J,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OCC3=NN=C(O3)C4CCCCC4)C2,"2-{3-chloro-5-[(5-cyclohexyl-1,3,4-oxadiazol-2-yl)methoxy]phenyl}-N-(4-methylpyridin-3-yl)acetamide",DMSO-d6
ALP-POS-c0c213c9-1,Z4653393040,C26H28N6O2,Achiral,456.539,99.165,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_K,COC=1C=CC=2N=NN(CC(=O)N(CC=3C=CC=CN3)C=4C=CC(=CC4)C5CCNCC5)C2C1,"2-(6-methoxy-1H-1,2,3-benzotriazol-1-yl)-N-[4-(piperidin-4-yl)phenyl]-N-[(pyridin-2-yl)methyl]acetamide",DMSO-d6
ALP-POS-c0c213c9-10,Z4653399755,C23H24N6O2,Achiral,416.475,91,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_L,O=C(CC=1C=CC=NC1)N(CC(=O)N2CCNCC2)C=3C=CC(=CC3)C=4N=CC=CN4,N-[2-oxo-2-(piperazin-1-yl)ethyl]-2-(pyridin-3-yl)-N-[4-(pyrimidin-2-yl)phenyl]acetamide,DMSO-d6
RAL-THA-6b94ceba-13,Z4609618492,C14H14ClN3O3S,Achiral,339.797,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_M,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(C2)S(=O)(=O)N,2-(3-chloro-5-sulfamoylphenyl)-N-(4-methylpyridin-3-yl)acetamide,DMSO-d6
MAT-POS-bfb445d4-1,Z73230289,C14H11ClN4O,Achiral,286.716,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_N,ClC=1C=CC=C(NC(=O)CN2N=NC=3C=CC=CC23)C1,"2-(1H-1,2,3-benzotriazol-1-yl)-N-(3-chlorophenyl)acetamide",DMSO-d6
MAT-POS-bbbbc21a-3,Z1666837583,C19H15ClN2O2,Achiral,338.787,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_O,ClC=1C=C2CCOC2=C(CC(=O)NC=3C=NC=C4C=CC=CC34)C1,"2-(5-chloro-2,3-dihydro-1-benzofuran-7-yl)-N-(isoquinolin-4-yl)acetamide",DMSO-d6
MAT-POS-f7918075-8,Z4610110901,C14H11ClN4O,Achiral,286.716,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_P,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3N=CNC23)C1,"2-(3-chlorophenyl)-N-{1H-imidazo[4,5-c]pyridin-7-yl}acetamide",DMSO-d6
WIL-MOD-03b86a88-6,Z4609618526,C14H15ClN4O3S,Achiral,354.811,87.15,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_A,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(NS(=O)(=O)N)C2,2-[3-chloro-5-(sulfamoylamino)phenyl]-N-(4-methylpyridin-3-yl)acetamide,DMSO-d6
CHO-MSK-6e55470f-19,Z4623427649,C24H19Cl2N3O3,Achiral,468.331,91,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_B,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OCC3=CC(=NO3)C=4C=CC(Cl)=CC4)C2,"2-(3-chloro-5-{[3-(4-chlorophenyl)-1,2-oxazol-5-yl]methoxy}phenyl)-N-(4-methylpyridin-3-yl)acetamide",DMSO-d6
MAT-POS-11b63608-1,Z4644964245,C19H15BrN2O2,Racemic or presumed racemic or meso,383.238,96.37,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_C,BrC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,"6-bromo-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",DMSO-d6
MAT-POS-3b92565d-1,Z1530718726,C18H15ClN2O2,Achiral,326.776,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_D,COC=1C=CC(Cl)=CC1CC(=O)NC=2C=NC=C3C=CC=CC23,2-(5-chloro-2-methoxyphenyl)-N-(isoquinolin-4-yl)acetamide,DMSO-d6
MAT-POS-044491d2-1,Z4609618438,C19H22ClN3O2,Racemic or presumed racemic or meso,359.849,94.85,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_E,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(NC3CCCC3O)C2,2-{3-chloro-5-[(2-hydroxycyclopentyl)amino]phenyl}-N-(4-methylpyridin-3-yl)acetamide,DMSO-d6
MAT-POS-f7918075-2,Z1848696683,C18H13ClN2O2,Racemic or presumed racemic or meso,324.761,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_F,ClC=1C=CC=2OCC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,"5-chloro-N-(isoquinolin-4-yl)-2,3-dihydro-1-benzofuran-3-carboxamide",DMSO-d6
MAT-POS-b3e365b9-2,Z4646695532,C19H15ClN2O2,Single known enantiomer,338.787,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_G,"ClC=1C=CC=2OCC[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1 |o1:8,r|","rel-(4R)-6-chloro-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",DMSO-d6
MAT-POS-b3e365b9-1,Z4646694589,C19H15ClN2O2,Single known enantiomer,338.787,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_H,"ClC=1C=CC=2OCC[C@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1 |o1:8,r|","rel-(4R)-6-chloro-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",DMSO-d6
MAT-POS-9ff17035-1,Z4606129267,C21H18ClN3O3,Racemic or presumed racemic or meso,395.838,68.46,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_I,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(OC4CCC(=O)N4)C1,2-{3-chloro-5-[(5-oxopyrrolidin-2-yl)oxy]phenyl}-N-(isoquinolin-4-yl)acetamide,DMSO-d6
MAT-POS-9ff17035-2,Z4606129268,C22H16ClN3O3,Achiral,405.833,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_J,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(OC4=CC=CC(=O)N4)C1,"2-{3-chloro-5-[(6-oxo-1,6-dihydropyridin-2-yl)oxy]phenyl}-N-(isoquinolin-4-yl)acetamide",DMSO-d6
ERI-UCB-a0b0dbcb-4,Z56927911,C21H18F3N3O2,Achiral,401.381,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_K,FC(F)(F)C=1C=CC=C(C1)N2CCN(CC2)C(=O)C3=CC(=O)NC=4C=CC=CC34,"4-{4-[3-(trifluoromethyl)phenyl]piperazine-1-carbonyl}-1,2-dihydroquinolin-2-one",DMSO-d6
ERI-UCB-a0b0dbcb-2,Z30884023,C20H18ClN3O2,Achiral,367.828,99.05,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_L,OC=1C=C(C(=O)N2CCN(CC2)C=3C=CC=C(Cl)C3)C=4C=CC=CC4N1,4-[4-(3-chlorophenyl)piperazine-1-carbonyl]quinolin-2-ol,DMSO-d6
ERI-UCB-a0b0dbcb-12,Z52131059,C21H20ClN3O2,Achiral,381.855,97,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_M,OC=1C=C(C(=O)N2CCN(CC=3C=CC=C(Cl)C3)CC2)C=4C=CC=CC4N1,4-{4-[(3-chlorophenyl)methyl]piperazine-1-carbonyl}quinolin-2-ol,DMSO-d6
ERI-UCB-a0b0dbcb-13,Z62874075,C22H20F3N3O2,Achiral,415.408,99.03,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_N,OC=1C=C(C(=O)N2CCN(CC=3C=CC=C(C3)C(F)(F)F)CC2)C=4C=CC=CC4N1,4-(4-{[3-(trifluoromethyl)phenyl]methyl}piperazine-1-carbonyl)quinolin-2-ol,DMSO-d6
MAT-POS-173a45da-2,Z4654072870,C22H19ClN4O2,Achiral,406.864,93.78,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,04_O,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OCC3=NNC=4C=CC=CC34)C2,2-{3-chloro-5-[(1H-indazol-3-yl)methoxy]phenyl}-N-(4-methylpyridin-3-yl)acetamide,DMSO-d6
