SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments
CNC(=O)OC1CCN(CC1)S(=O)(=O)C=2C=CC=CC2,GIA-UNK-595fac82-4,CVD-0001293,GIA-UNK-595-4,Z4444622126,298.35,85.0,40,20,1178796-Y40-01,K03,Achiral,
CC=1C=CC=C(NC(=O)C(C#N)C(=O)C2CC2)C1,JOH-UNI-c7afdb96-8,CVD-0004189,Z638861820,Z638861820,242.27,91.0,40,20,1178796-Y40-01,L03,Racemic or presumed racemic or meso,
CCC(CC)C(=O)C(C#N)C(=O)NC=1C=CC(F)=CC1,JOH-UNI-c7afdb96-14,CVD-0004178,Z637364502,Z637364502,276.3,95.0,40,20,1178796-Y40-01,M03,Racemic or presumed racemic or meso,
CC(C)CC(=O)C(C#N)C(=O)NC=1C=CC=C(C)C1,JOH-UNI-c7afdb96-13,CVD-0004177,Z638862034,Z638862034,258.31,95.0,40,20,1178796-Y40-01,N03,Racemic or presumed racemic or meso,
CC=1C=CC=C(NC(=O)C(C#N)C(=O)C2CCCC2)C1,JOH-UNI-c7afdb96-6,CVD-0004187,Z638862226,Z638862226,270.32,95.0,40,20,1178796-Y40-01,O03,Racemic or presumed racemic or meso,
CCCSCC(=O)C(C#N)C(=O)NC=1C=CC=CC1F,JOH-UNI-c7afdb96-9,CVD-0004190,Z762204984,Z762204984,294.34,95.0,40,20,1178796-Y40-01,P03,Racemic or presumed racemic or meso,
CC(C)CC(=O)C(C#N)C(=O)NC=1C=CC(C)=CC1,JOH-UNI-c7afdb96-11,CVD-0004175,Z638737654,Z638737654,258.31,100.0,40,20,1178796-Y40-01,A04,Racemic or presumed racemic or meso,
CC=1C=CC=C(NC(=O)C(C#N)C(=O)C2CCC2)C1,JOH-UNI-c7afdb96-7,CVD-0004188,Z638862224,Z638862224,256.29,91.0,40,20,1178796-Y40-01,B04,Racemic or presumed racemic or meso,
CC(C)(C)CC(=O)C(C#N)C(=O)NC=1C=CC=CC1,JOH-UNI-c7afdb96-12,CVD-0004176,Z638912916,Z638912916,258.31,97.07,40,20,1178796-Y40-01,C04,Racemic or presumed racemic or meso,
ClC=1C=CC=C(NC(=O)C(C#N)C(=O)C2=CC=CS2)C1,JOH-UNI-c7afdb96-5,CVD-0004186,Z639690082,Z639690082,304.75,100.0,40,20,1178796-Y40-01,D04,Racemic or presumed racemic or meso,
CC=1C=CC(C)=C(C1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,WAR-XCH-79d12f6e-6,CVD-0003751,WAR-XCH-79d-6,Z147647422,330.83,100.0,40,20,1178796-Y40-01,E04,Achiral,
ClC=1C=C(CN2CCN(CC#N)CC2)C=3C=CC=CC3C1,MAT-POS-4e253971-1,CVD-0004552,compound-9,Z4450659665,299.79,96.93,40,20,1178796-Y40-01,F04,Achiral,
CNC(=O)OC1CCN(CC=2C=CC=CC2)CC1,GIA-UNK-595fac82-5,CVD-0001294,Z4444621925,Z4444621925,248.32,100.0,40,20,1178796-Y40-01,G04,Achiral,
ClC=1C=CC=C(C1)C(=O)N2CCN(CC2)C(=O)C=C,MED-COV-4280ac29-14,CVD-0002719,JOH-UNI-27a-26_thio_pH,Z3488528853,278.73,98.12,40,20,1178796-Y40-01,H04,Achiral,
C=CC(=O)N1CCCC(C1)C2=NC=3C=CC=CC3S2,JOO-IND-b13e14cc-1,CVD-0001713,JOO-IND-b13-1,Z2517205905,272.36,100.0,40,20,1178796-Y40-01,I04,Racemic or presumed racemic or meso,
ClC=1C=C(CN2CCN(CC2)C(=O)C=C)C=3C=CC=CC3C1,MAT-POS-4e253971-2,CVD-0004553,compound-7,Z4450659664,314.8,100.0,40,20,1178796-Y40-01,J04,Achiral,
OCC(NC(=O)CCl)C=1C=CC=C(Cl)C1,DAV-CRI-3edb475e-4,CVD-0000884,DAV-CRI-3ed-4,Z2596884371,248.1,100.0,40,20,1178796-Y40-01,K04,Racemic or presumed racemic or meso,
Cl.ClCC(=O)N1CCN(CC#C)CC1,TOB-UNK-c2aba166-1,CVD-0003591,TOB-UNK-c2a-1,Z2417560794,237.12,95.0,40,20,1178796-Y40-01,L04,Achiral,
Cl.ClCC(=O)N1CCN(CC1)C(C=2C=CC=CC2)C=3C=CC=CC3,SIM-SYN-f15aaa3a-1,CVD-0003482,SIM-SYN-f15-1,Z199040704,365.29,100.0,40,20,1178796-Y40-01,M04,Achiral,
Cl.ClCC(=O)N1CCN(CC=2C=CC=C(Cl)C2)CC1,MED-COV-4280ac29-15,CVD-0002720,JOH-UNI-27a-23_thio_pH,Z147647726,323.64,97.45,40,20,1178796-Y40-01,N04,Achiral,
CC(=O)NCCC1=CN(CC(=O)N2CCOCC2)C=3C=CC=CC13,DUN-NEW-f8ce3686-13,CVD-0001101,DUN-NEW-f8c-13,Z2933949592,329.39,,40,20,1178796-Y40-01,O04,Achiral,
CNCC1=CNC=2C=CC(F)=CC12,DAR-DIA-eace69ff-36,CVD-0000815,DAR-DIA-eac-36,Z1416178360,178.2,,40,20,1178796-Y40-01,P04,Achiral,
Cl.ClCC(=O)N1CCN(CC=2C=CC=C3C=CC=CC23)CC1,MED-COV-4280ac29-31,CVD-0002737,PAU-UNI-b2b-1_thio_pH,Z199538122,339.25,95.23,40,20,1178796-Y40-01,A05,Achiral,
CCCSCC(=O)C(C#N)C(=O)NC=1C=CC(F)=CC1F,JOH-UNI-c7afdb96-10,CVD-0004174,Z762213590,Z762213590,312.33,95.0,40,20,1178796-Y40-01,B05,Racemic or presumed racemic or meso,
