SMILES,CID,creator,rationale,fragments,link,real_space,SCR,BB,extended_real_space,in_molport_or_mcule,in_ultimate_mcule,in_emolecules,covalent_frag,covalent_warhead,acrylamide,acrylamide_adduct,chloroacetamide,chloroacetamide_adduct,vinylsulfonamide,vinylsulfonamide_adduct,nitrile,nitrile_adduct,MW,cLogP,HBD,HBA,TPSA,num_criterion_violations,BMS,Dundee,Glaxo,Inpharmatica,LINT,MLSMR,PAINS,SureChEMBL
CCC(C)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1ccccc1)NC(=O)CN)C(=O)NC(Cc1ccccc1)C(=O)NC(C=O)CO,ABH-HOE-1cbf6cd9-4,"Abhishek Jalan, Hoecker Protein Design Group University of Bayreuth Germany","The cleft near the binding site is visually similar to some of the collagen receptors I had worked with. Initially, I had docked a collagen triple helical backbone into the active site and then manually added the residues that could be accommodated. The rational for using a collagen triple helix was that is highly protease resistant, is easily absorbed in the gut and has low renal clearance. A major disadvantage is that it will probably not permeate the cell membrane as well as small molecules. In any case, I realised that all interactions were coming from a contiguous stretch of six amino acids GFRGFS on a single chain of the triple helix. Thus, I sopped working with then triple helix and instead docked the hexamer GFRGFS onto the domains harbouring the binding site in cluspro.  Cluspro identified a single high energy cluster containing close to 1000 poses (uploaded). All the remaining 9 clusters also put the peptide within binding site albeit in slightly altered conformations. Variations on the sequence that give similar energies and cluster sizes in Cluspro are includes. 

Please note that we have converted this peptide into a peptidomimetic structure and are now working on docking it to the target. We will upload the results if the docking results look promising.",x0072,https://covid.postera.ai/covid/submissions/ABH-HOE-1cbf6cd9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,709.8490000000003,-1.644929999999992,10,9,270.72,4,aldehyde,"aldehyde, Aliphatic long chain, imine, imine",PASS,Filter38_aldehyde,aldehyde,"Imine 3, aldehyde, Long aliphatic chain, Dipeptide",PASS,Aldehyde
CC(=O)C=CC1(Cc2ccccc2)COC(Cn2cc3c(n2)CC(NC(=N)N)C3c2nc(Cc3ccccc3)co2)=N1,ABH-HOE-8c83008f-1,"Abhishek Jalan and Bruce Lichtenstein, Hoecker Group (Uni-Bayreuth) and University of Portsmouth School of Biological Sciences","We had previously submitted a peptide ligand with sequence GFRGFS (submission # ABH-HOE-1cb). We converted it to a peptidomimetic molecule with a Michael acceptor for covalent bonding to Cys145 and docked it onto 6y2e PDB using rosetta ligand docking. The approximate ligand docking protocol is as follows, 
1. First we used SiteHound to identify posssible ligand binding sites in 6y2e using a Methyl probe. Three binding sites were found but only the active site showed the highest score qualifying for the subsequent docking run. 
2. The ligand was placed close to 6y2e at the XYZ coordinates obtained for high scoring solution from SiteHound. 10,000 docking poses were generated by restricting the ligand to a box of 10 Å radius and perturbing (rotation + translation) the ligand 5 Å. Rosetta calculated the interface_delta score which is approximate measure of the interaction between the ligand and the protein. Top 10 solution sorted using interface_delta score were manually inspected in pymol. All 10 solutions docked the ligand in the active site.
Key Features of the docked pose are:
- The peptidomimetic molecule contains two phenylalanines and one arginine. 
- The Michael acceptor is placed close to C145 for covalent bond formation
- The N-term Phe occupies hydrophobic pocket formed by residues H41, M49, F140, H163
- The C-term Phe occupies hydrophobic pocket formed by residues M165, L167, F185 and V186
- Arg forms a salt-bridge to E166 and another polar contact to the backbone carbonyls of residues L167 and P168. 

The ligand buries a total surface area of ~ 500 Å^2. 

Please see discussions for some pictures of the docked structure and docking evaluation.",x0072,https://covid.postera.ai/covid/submissions/ABH-HOE-8c83008f,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,563.6620000000003,3.556970000000001,3,8,144.41000000000003,1,PASS,"imine, imine, Michael acceptor",PASS,Filter44_michael_acceptor2,alpha beta-unsaturated ketones; center of Michael reactivity,"Imine 3, Ketone, vinyl michael acceptor1",PASS,PASS
CC(=O)C=CC1(Cc2ccccc2)COC(Cn2cc3c(n2)CC(NC(=N)N)C3c2nc(Cc3ccccc3)co2)=N1,ABH-UNI-d4faac8d-1,"Abhishek Jalan and Bruce Lichtenstein, University of Bayreuth and University of Portsmouth","We had previously submitted a peptide ligand with sequence GFRGFS (submission # ABH-HOE-1cb). We converted it to a peptidomimetic molecule with a Michael acceptor for covalent bonding to Cys145 and docked it onto 6y2e PDB using rosetta ligand docking. The approximate ligand docking protocol is as follows, 
1. First we used SiteHound to identify posssible ligand binding sites in 6y2e using a Methyl probe. Three binding sites were found but only the active site showed the highest score qualifying for the subsequent docking run. 
2. The ligand was placed close to 6y2e at the XYZ coordinates obtained for high scoring solution from SiteHound. 10,000 docking poses were generated by restricting the ligand to a box of 10 Å radius and perturbing (rotation + translation) the ligand 5 Å. Rosetta calculated the interface_delta score which is approximate measure of the interaction between the ligand and the protein. Top 10 solution sorted using interface_delta score were manually inspected in pymol. All 10 solutions docked the ligand in the active site.
Key Features of the docked pose are:
- The peptidomimetic molecule contains two phenylalanines and one arginine. 
- The Michael acceptor is placed close to C145 for covalent bond formation
- The N-term Phe occupies hydrophobic pocket formed by residues H41, M49, F140, H163
- The C-term Phe occupies hydrophobic pocket formed by residues M165, L167, F185 and V186
- Arg forms a salt-bridge to E166 and another polar contact to the backbone carbonyls of residues L167 and P168. 

The ligand buries a total surface area of ~ 500 Å^2. 

Please see the discussion form for some pictures of the docking pose and evaluation of the docking results.",x0072,https://covid.postera.ai/covid/submissions/ABH-UNI-d4faac8d,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,563.6620000000003,3.556970000000001,3,8,144.41000000000003,1,PASS,"imine, imine, Michael acceptor",PASS,Filter44_michael_acceptor2,alpha beta-unsaturated ketones; center of Michael reactivity,"Imine 3, Ketone, vinyl michael acceptor1",PASS,PASS
CC(=O)/C=C/C1(Cc2ccccc2)COC(Cn2cc3c(n2)CC(NC(=N)N)C3c2nc(Cc3ccccc3)co2)=N1,ABH-UNI-fbfec4c4-1,"Abhishek Jalan - Bruce Lichtenstein, Uni-Bayreuth and Uni-Portsmouth","We had previously submitted a peptide ligand with sequence GFRGFS (submission # ABH-HOE-1cb). We converted it to a peptidomimetic molecule with a Michael acceptor for covalent bonding to Cys145 and docked it onto 6y2e PDB using rosetta ligand docking. The approximate ligand docking protocol is as follows, 
1. First we used SiteHound to identify posssible ligand binding sites in 6y2e using a Methyl probe. Three binding sites were found but only the active site showed the highest score qualifying for the subsequent docking run. 
2. The ligand was placed close to 6y2e at the XYZ coordinates obtained for high scoring solution from SiteHound. 10,000 docking poses were generated by restricting the ligand to a box of 10 Å radius and perturbing (rotation + translation) the ligand 5 Å. Rosetta calculated the interface_delta score which is approximate measure of the interaction between the ligand and the protein. Top 10 solution sorted using interface_delta score were manually inspected in pymol. All 10 solutions docked the ligand in the active site.
Key Features of the docked pose are:
- The peptidomimetic molecule contains two phenylalanines and one arginine. 
- The Michael acceptor is placed close to C145 for covalent bond formation
- The N-term Phe occupies hydrophobic pocket formed by residues H41, M49, F140, H163
- The C-term Phe occupies hydrophobic pocket formed by residues M165, L167, F185 and V186
- Arg forms a salt-bridge to E166 and another polar contact to the backbone carbonyls of residues L167 and P168. 

The ligand buries a total surface area of ~ 500 Å^2. 

Please see discussion for more details on the docking protocol and pictures.",x0072,https://covid.postera.ai/covid/submissions/ABH-UNI-fbfec4c4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,563.6620000000003,3.556970000000001,3,8,144.41000000000003,1,PASS,"imine, imine, Michael acceptor",PASS,Filter44_michael_acceptor2,alpha beta-unsaturated ketones; center of Michael reactivity,"Imine 3, Ketone, vinyl michael acceptor1",PASS,PASS
CS(=O)(=O)NCCOC(C(=O)Nc1cccnc1)c1ccccc1,ADA-UNI-f8e79267-1,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,349.41200000000015,1.3272,2,5,97.39,0,PASS,Aliphatic long chain,PASS,PASS,PASS,"Long aliphatic chain, Hetero_hetero",PASS,PASS
CNCCOC(C(=O)Nc1cccnc1)c1cccc(Cl)c1,ADA-UNI-f8e79267-10,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,319.7920000000001,2.6508000000000003,2,4,63.25,0,PASS,Aliphatic long chain,PASS,PASS,PASS,Long aliphatic chain,PASS,PASS
CNCCC(C(=O)Nc1cccnc1)c1cccc(Cl)c1,ADA-UNI-f8e79267-11,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,303.793,3.066800000000001,2,3,54.02,0,PASS,PASS,PASS,PASS,PASS,Long aliphatic chain,PASS,PASS
CNCC1CC1(C(=O)Nc1cccnc1)c1cccc(Cl)c1,ADA-UNI-f8e79267-12,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,315.8040000000001,2.8508000000000013,2,3,54.02,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
CS(=O)(=O)NCCC(C(=O)Nc1cccnc1)c1ccccc1,ADA-UNI-f8e79267-2,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,333.41300000000007,1.7431999999999994,2,4,88.16,0,PASS,PASS,PASS,PASS,PASS,"Long aliphatic chain, Hetero_hetero",PASS,PASS
CS(=O)(=O)NCC1CC1(C(=O)Nc1cccnc1)c1ccccc1,ADA-UNI-f8e79267-3,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,345.42400000000015,1.527199999999999,2,4,88.16,0,PASS,PASS,PASS,PASS,PASS,Hetero_hetero,PASS,PASS
CNCCOC(C(=O)Nc1cccnc1)c1ccccc1,ADA-UNI-f8e79267-4,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,285.3470000000001,1.9974,2,4,63.25,0,PASS,Aliphatic long chain,PASS,PASS,PASS,Long aliphatic chain,PASS,PASS
CNCCC(C(=O)Nc1cccnc1)c1ccccc1,ADA-UNI-f8e79267-5,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,269.348,2.4134,2,3,54.02,0,PASS,PASS,PASS,PASS,PASS,Long aliphatic chain,PASS,PASS
CNCC1CC1(C(=O)Nc1cccnc1)c1ccccc1,ADA-UNI-f8e79267-6,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,281.35900000000004,2.1974,2,3,54.02,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
CS(=O)(=O)NCCOC(C(=O)Nc1cccnc1)c1cccc(Cl)c1,ADA-UNI-f8e79267-7,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,383.85700000000014,1.9806,2,5,97.39,0,PASS,Aliphatic long chain,PASS,PASS,PASS,"Long aliphatic chain, Hetero_hetero",PASS,PASS
CS(=O)(=O)NCCC(C(=O)Nc1cccnc1)c1cccc(Cl)c1,ADA-UNI-f8e79267-8,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,367.85800000000006,2.3965999999999994,2,4,88.16,0,PASS,PASS,PASS,PASS,PASS,"Long aliphatic chain, Hetero_hetero",PASS,PASS
CS(=O)(=O)NCC1CC1(C(=O)Nc1cccnc1)c1cccc(Cl)c1,ADA-UNI-f8e79267-9,"Adam Nelson, University of Leeds","X0678_0 merged with other fragments X0387_0 and X0072_0. Synthesisable from two a-diazo a-aryl amides, either by OH insertion or cyclopropanation.","x0072,x0387,x0678",https://covid.postera.ai/covid/submissions/ADA-UNI-f8e79267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,379.869,2.180599999999999,2,4,88.16,0,PASS,PASS,PASS,PASS,PASS,Hetero_hetero,PASS,PASS
CC(C)(C)OC(=O)Nc1cccn(C(c2cc(C(=O)C(=O)NCc3ccccc3)cc3[nH]cc(C=O)c23)C2CC2)c1=O,ADR-MCR-f276533c-1,"Adrian Accurso, MCR",This is a more rigid version of the alpha-ketoamide inhibitor recently published in Science by the Zhang and Hilgenfeld team at DZIF in Germany. The central peptide connection has been replaced by a carboxy indole group which may provide an alternative synthesis.,"x0072,x0104",https://covid.postera.ai/covid/submissions/ADR-MCR-f276533c,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,568.6300000000001,4.987600000000004,3,7,139.36,1,"aldehyde, alpha_dicarbonyl","aldehyde, diketo group",PASS,"Filter38_aldehyde, Filter41_12_dicarbonyl, Filter82_pyridinium","aldehyde, 1,2-dicarbonyl not in ring, carbamate, T-boc Protected, carbamate include di-substitued N","aldehyde, Ketone, Oxalyl",PASS,Aldehyde
C=Cc1ncc(C)c(CCNC(=O)CN2CCNCC2)c1NC(=O)N(C)c1cc(C)ccn1,AGN-NEW-051944a9-1,"Agnieszka K. Bronowska, Newcastle University",Structure-guided lead optimisation and molecular docking,"x0434,x0540",https://covid.postera.ai/covid/submissions/AGN-NEW-051944a9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,451.57500000000016,1.9686400000000002,3,6,102.49,0,PASS,PASS,PASS,PASS,terminal vinyl,PASS,PASS,Ethene
C=Cc1ncc(C)c(CCNC(=O)CN2CCNCC2)c1NC(=O)N(CN1CCOCC1)c1cc(C)ccn1,AGN-NEW-051944a9-2,"Agnieszka K. Bronowska, Newcastle University",Structure-guided lead optimisation and molecular docking,"x0434,x0540",https://covid.postera.ai/covid/submissions/AGN-NEW-051944a9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,536.6810000000004,1.6285400000000023,3,8,114.96,0,non_ring_CH2O_acetal,PASS,PASS,PASS,"acyclic N-C-N, terminal vinyl",PASS,PASS,Ethene
C#Cc1ncc(C)c(CCNC(=O)CN2CCNCC2)c1NC(=O)N(C)c1cc(C)ccn1,AGN-NEW-051944a9-3,"Agnieszka K. Bronowska, Newcastle University",Structure-guided lead optimisation and molecular docking,"x0434,x0540",https://covid.postera.ai/covid/submissions/AGN-NEW-051944a9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,449.55900000000014,1.3069400000000004,3,6,102.49,0,PASS,triple bond,PASS,PASS,PASS,PASS,PASS,triple_bond
C#Cc1ncc(C)c(CCNC(=O)CN2CCNCC2)c1NC(=O)N(CN1CCOCC1)c1cc(C)ccn1,AGN-NEW-051944a9-4,"Agnieszka K. Bronowska, Newcastle University",Structure-guided lead optimisation and molecular docking,"x0434,x0540",https://covid.postera.ai/covid/submissions/AGN-NEW-051944a9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,534.6650000000004,0.9668400000000028,3,8,114.96,0,non_ring_CH2O_acetal,triple bond,PASS,PASS,acyclic N-C-N,PASS,PASS,triple_bond
C=CC(=O)N1CC(CCN(C(=O)Nc2c(C)ncc(C)c2CCN2CCOCC2)c2cc(C)ccn2)C1,AGN-NEW-5f02c22c-1,"Agnieszka K. Bronowska, Newcastle University",Structure-guided lead optimisation,"x0434,x0540",https://covid.postera.ai/covid/submissions/AGN-NEW-5f02c22c,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,506.6510000000005,3.349560000000001,1,6,90.9,0,"acrylate, halo_acrylate",Michael acceptor,PASS,PASS,"terminal vinyl, alpha beta-unsaturated ketones; center of Michael reactivity",vinyl michael acceptor2,PASS,Ethene
C=CC(=O)NC1CN(c2cc(C)cc(Cl)c2)C(=O)N(c2cnccc2C)C1,AGN-NEW-63f62ae9-1,"Agnieszka K. Bronowska, Newcastle University",Structure-guided fragment growth,x0434,https://covid.postera.ai/covid/submissions/AGN-NEW-63f62ae9,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,384.86700000000013,3.469240000000002,1,3,65.54,0,"acrylate, halo_acrylate",Michael acceptor,PASS,PASS,"terminal vinyl, alpha beta-unsaturated ketones; center of Michael reactivity",vinyl michael acceptor2,PASS,Ethene
C=CC(=O)NC1CN(c2cc(C)cc(F)c2)C(=O)N(c2cnccc2C)C1,AGN-NEW-63f62ae9-2,"Agnieszka K. Bronowska, Newcastle University",Structure-guided fragment growth,x0434,https://covid.postera.ai/covid/submissions/AGN-NEW-63f62ae9,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,368.41200000000015,2.954940000000001,1,3,65.54,0,"acrylate, halo_acrylate",Michael acceptor,PASS,PASS,"terminal vinyl, alpha beta-unsaturated ketones; center of Michael reactivity",vinyl michael acceptor2,PASS,Ethene
