SMILES,CID,shipments,comments
Nc1nnnn1-c1cccc(C(=O)Nc2c(-c3cccnc3)nc3ccccn23)c1,BAR-COM-4e090d3a-2,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
NS(=O)(=O)c1ccc(N2CCC(CO)CC2)cc1,WAR-XCH-b72a1bbc-14,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,TRY-UNI-714a760b-20,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CCN(C)CC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-49,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,DAR-DIA-23aa0b97-19,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1noc(C)c1COc1ccccc1C(=O)NC(C)c1nnc2ncccn12,BAR-COM-4e090d3a-9,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1cccc(C)c1OCC(=O)NCCc1ccccc1,ALE-UNK-fca05062-3,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
NS(=O)(=O)c1ccc(N2CCC(CN3CCCCCC3)CC2)cc1,WAR-XCH-b72a1bbc-20,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
C=C1CC1C(=O)NC(C)c1ccc(S(=O)(=O)NC)cc1,VIJ-CYC-1a381570-5,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ccncc1NC(=O)Cc1ccc(S(N)(=O)=O)cc1,GAB-REV-70cc3ca5-20,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CC(C(=O)Nc1cccc(NC2CCCC2)c1)c1cnccn1,BAR-COM-4e090d3a-20,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
COc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,ALV-UNI-7ff1a6f9-47,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CC(C)NC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b6889685-23,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CC(=O)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,MAK-UNK-6435e6c2-6,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CC(=O)N1CCN(C(=O)Cc2ccccn2)CC1,JON-UIO-066ce08b-3,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
NC(=O)C1Cc2ccccc2N(CC(=O)Nc2cnccn2)C1,BAR-COM-4e090d3a-21,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(Cc1cccnc1Cl)Nc1cccc(OCCc2ccccc2)c1,BAR-COM-4e090d3a-15,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
C#Cc1ccc(CNC(=O)N2CCOCC2)cc1,PAT-GYR-359dbb24-1,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
COc1cccc(NC(=O)Nc2cccc(C#N)c2)c1,ANN-UNI-26382800-6,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CNS(=O)(=O)c1ccc(C(C)NC(=O)NC(C)(C)C)cc1,VIJ-CYC-1a381570-11,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(NCc1cncs1)Nc1cccc(N2CCOCC2)c1,BAR-COM-4e090d3a-58,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CC(c1cccc(NC(=O)Cc2cnccc2Cl)c1)N1CCOCC1,BAR-COM-4e090d3a-66,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ccccc1CN1CCN(C(=O)C(F)C(C)C)CC1,JON-UIO-066ce08b-9,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(NCc1ccns1)Nc1cccc(CN2CCCC2=O)c1,BAR-COM-4e090d3a-61,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CC1CN(Cc2ccccc2NC(=O)NCc2cnsc2)CC(C)O1,BAR-COM-4e090d3a-4,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,TRY-UNI-714a760b-22,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(NCC(O)Cn1ccnn1)c1ccccc1OC1CCC1,BAR-COM-4e090d3a-34,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ccccc1CNc1ccccc1NC(=O)C(O)c1cccnc1,BAR-COM-4e090d3a-3,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CCn1c(=O)n(CC(=O)NCc2cnccn2)c2ccccc21,BAR-COM-4e090d3a-51,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(Cc1cncnc1)Nc1cccc(CCCc2ccccc2)c1,BAR-COM-4e090d3a-11,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
N#Cc1cccc(CC(=O)Nc2cccnc2)c1,ANN-UNI-26382800-5,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1nnc(CC(=O)Nc2cccnc2)s1,ALE-HEI-f28a35b5-5,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(NCc1cnccn1)c1sc2cccc(F)c2c1COc1ccccc1,BAR-COM-4e090d3a-64,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(NCc1noc2ccccc12)c1ccccc1OCC1CC1,BAR-COM-4e090d3a-43,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(COc1ccccc1)NCCc1ccccc1,ALE-UNK-fca05062-4,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(CCn1ccnn1)NC(CN1CCOCC1)c1ccccc1,BAR-COM-4e090d3a-45,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(Cc1ccc2ccccc2c1)Nc1cc(C(F)(F)F)ccn1,ALV-UNI-7ff1a6f9-46,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ccccc1NC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b6889685-30,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ccc(NC(=O)Nc2cccnc2)s1,DAR-DIA-842b4336-3,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(NCc1cccnc1)Nc1cccc(OCC(F)F)n1,BAR-COM-4e090d3a-69,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(NCc1cccnn1)Nc1cccc(OCCN2CCOCC2)c1,BAR-COM-4e090d3a-54,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ccncc1NC(=O)Nc1cccc(C#N)c1,TRY-UNI-714a760b-24,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
N#Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,WAR-XCH-eb7b662f-2,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1nnc(NC(=O)Nc2cccnc2)s1,ALE-HEI-f28a35b5-4,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(Nc1cccnc1)Nc1ccc(Cl)s1,DAR-DIA-842b4336-4,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,TRY-UNI-714a760b-12,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CS(=O)(=O)NCCc1cccc(O)c1,ANT-DIA-b7f58f21-2,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1coc(NC(=O)Nc2cccnc2)n1,DAR-DIA-842b4336-7,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ncncc1NC(=O)Nc1ccccc1,HAN-NEW-5f56c3bc-1,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,MAT-POS-916a2c5a-1,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(C1CCN(S(=O)(=O)c2ccccc2)CC1)N1CCOCC1,GIA-UNK-eaadd1d4-3,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,MAT-POS-916a2c5a-2,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv, 20200526_enamine_to_weizmann.csv",
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,MAT-POS-916a2c5a-3,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(CCc1c[nH]nn1)NC(Cn1cccn1)c1ccccc1,BAR-COM-4e090d3a-30,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(CCl)N1CCN(Cc2cccs2)CC1,LON-WEI-8f408cad-5,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(CCl)N1CCN(Cc2ccsc2)CC1,LON-WEI-8f408cad-7,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(NCc1cccnn1)Nc1cccc(N2CCC2=O)c1,BAR-COM-4e090d3a-60,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CC(=O)N1CCN(Cc2cn(-c3cccc(S(N)(=O)=O)c3)nn2)CC1,NIM-UNI-02269248-3,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
COC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-9,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ccncc1NC(=O)Cc1ccccc1,TRY-UNI-714a760b-5,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1ccc(NC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)cc1,WAR-XCH-b6889685-25,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-8f408cad-8,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv, 20200427_enamine_to_weizmann.csv",
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-8f408cad-9,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-8f408cad-10,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(Cc1cccnc1)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-1,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccncc1-c1nnc(-c2cccc(Cl)c2)o1,JAN-GHE-83b26c96-24,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccncc1NC(=O)Cc1cncc(C#N)c1,TRY-UNI-2eddb1ff-1,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1cc(C(C)(C)C)ccc1OCC(O)Cn1cnccc1=O,FRA-BIO-8bf1eac9-7,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",imperfect stereochemical match for FRA-BIO-8bf1eac9-7
CCN1CCN(Cc2ccccc2CNC(=O)C2(C)CCN2C(=O)OC(C)(C)C)CC1,FRA-BIO-8bf1eac9-3,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",imperfect stereochemical match for FRA-BIO-8bf1eac9-3
CC(C)c1ncncc1NC(=O)C(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-6,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
CC(C(=O)Nc1cnccc1-n1cccn1)c1cccc(Cl)c1,JAN-GHE-83b26c96-3,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
CC(=O)NCc1cccc(NC(=O)Cc2cncnc2)c1,RAL-MED-2de63afb-12,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,TRY-UNI-2eddb1ff-7,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C(c1cc2sccc2s1)N1CCOC(CN2CCOCC2)C1,JAR-KUA-672ec752-1,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1cc(NC(=O)Cc2cncnc2)cc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-2,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccc(NCc2cc(NC(=O)OC(C)(C)C)ccc2Br)cn1,FRA-BIO-8bf1eac9-6,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C(Nc1nncn1C1CC1)C1CCOc2ccc(Cl)cc21,JAG-UCB-a3ef7265-20,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1cc2c(cc1C)C(C(=O)Nc1cncnc1-n1cccn1)CO2,JAG-UCB-a3ef7265-24,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",imperfect stereochemical match for JAG-UCB-a3ef7265-24
Cc1noc(C(C)S(=O)(=O)Cc2cccc(C(F)(F)F)c2)n1,JAG-UCB-a3ef7265-21,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",imperfect stereochemical match for JAG-UCB-a3ef7265-21
Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)C(C)C,JAN-GHE-83b26c96-9,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C(Cc1cncnc1)Nc1cc(F)cc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-14,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
CCC(C(=O)Nc1cnncc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-1,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
CC(=O)Nc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-2,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C1CC(c2cccc(NC(=O)Cc3cncnc3)c2)CN1,RAL-MED-2de63afb-3,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)Nc1cccc(CN2CCCC2)c1,FRA-BIO-8bf1eac9-4,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",imperfect stereochemical match for FRA-BIO-8bf1eac9-4
Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,JAN-GHE-83b26c96-20,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccnc(C)c1NC(=O)Cc1cccc(Cl)c1,EDJ-MED-49816e9b-2,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccc(NC(=O)Cc2cc3ccc[nH]c-3n2)s1,DAR-DIA-842b4336-18,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)N(C)C,JAN-GHE-83b26c96-10,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccncc1NC(=O)C(F)(F)c1cccc(Cl)c1,JAN-GHE-83b26c96-23,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C(Nc1cnccc1CO)C1COc2ccc(Cl)cc21,JAG-UCB-a3ef7265-3,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",imperfect stereochemical match for JAG-UCB-a3ef7265-3
O=C(CCl)N1CCN(C(c2ccccc2)C2CCCCC2)CC1,GIA-UNK-20b63697-6,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
C=CC(=O)N1CCN(S(=O)(=O)c2ccccc2-c2ccc(Nc3ccc(C#N)cn3)cc2)CC1,JAN-GHE-bf40f168-2,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C(O)C(Cc1nccc(O)n1)NCc1ccc(Cl)s1,FRA-BIO-8bf1eac9-5,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",imperfect stereochemical match for FRA-BIO-8bf1eac9-5
O=C(NCc1ccccc1OCCO)C(=O)N[C@@H]1C[C@H]1C1CCOCC1,FRA-BIO-8bf1eac9-10,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",imperfect stereochemical match for FRA-BIO-8bf1eac9-10
O=C(NCCOc1ccccc1)c1cc(=O)[nH]c2ccccc12,BEN-DND-7e92b6ca-5,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C(NCCNc1ccccc1)c1cc(=O)[nH]c2ccccc12,BEN-DND-7e92b6ca-4,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(S(=O)(=O)c2ccccc2)CC1,BEN-DND-7e92b6ca-7,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
CN(CCNC(=O)c1cc(=O)[nH]c2ccccc12)c1ccccc1,BEN-DND-7e92b6ca-3,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
N#Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4cc(F)ccc34)CC2)cc1,MAT-POS-590ac91e-60,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
N#Cc1ccccc1S(=O)(=O)N1CCN(C(=O)c2cc(=O)[nH]c3cc(F)ccc23)CC1,MAT-POS-590ac91e-61,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
COc1ccccc1OCCN(C)C(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-37,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
COc1ccccc1OC(C)CNC(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-38,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4cc(F)ccc34)CC2)c(C)c1,MAT-POS-590ac91e-63,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C(c1cc(=O)[nH]c2cc(F)ccc12)N1CCN(S(=O)(=O)c2ccccc2)CC1,MAT-POS-590ac91e-57,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
CC1(C)Cc2cccc(OCCNC(=O)c3cc(=O)[nH]c4cc(F)ccc34)c2O1,MAT-POS-590ac91e-46,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
COc1ccccc1OCC(C)NC(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-40,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-32,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4cc(F)ccc34)CC2)cc1,MAT-POS-590ac91e-65,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C(NCC1COc2ccccc2O1)c1cc(=O)[nH]c2cc(F)ccc12,MAT-POS-590ac91e-31,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccncc1NC(=O)Cc1cccc(F)c1,ALP-POS-95b75b4d-1,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccncc1NC(=O)Cc1cccc(O)c1,ALP-POS-95b75b4d-2,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
COc1ccccc1OCCN(C)C(=O)c1cc(=O)[nH]c2ccccc12,BEN-DND-7e92b6ca-2,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C(CCl)N1CCN(C(c2ccccc2)C2CCOCC2)CC1,GIA-UNK-20b63697-2,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
CNCCC(C(=O)Nc1cccnc1)c1ccccc1,ADA-UNI-f8e79267-5,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-22,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
CCCC(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-8,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
Cc1ccncc1NC(=O)Cc1cccc(CO)c1,EDJ-MED-e58735b6-2,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
O=C(CCl)N1CCN(C2(c3cccc(Cl)c3)CC2)CC1,MED-COV-4280ac29-12,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
C/C=C/C(=O)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-10,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
C=CC(=O)N(c1ccc(CC)c(I)c1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-adc59df6-73,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
C=CC(=O)N(C(C(=O)NC(C)(C)C)c1cccnc1)C1CC12CC(C)(C)C2,LON-WEI-adc59df6-99,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(F)cc1C)c1cccnc1,LON-WEI-adc59df6-16,"20200610_enamine_to_oxford.csv, 20200610_enamine_to_xchem.csv, 20200610_enamine_to_weizmann.csv",
