SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry
ClC=1C=CN=C(CNC(=O)CC2=CNC=3N=CC=CC23)C1,,Z1575152133,300.74,100,4,50,1166137-Y4-01,K05,Achiral
O=C(CC1=CNC=2N=CC=CC12)NCC=3C=CC(C#N)=CC3,,Z1400838206,290.31,100,4,50,1166137-Y4-01,L05,Achiral
CC=1C=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,,Z1129289650,260.71,100,4,50,1166137-Y4-01,M05,Achiral
ClC=1C=CC(CNC(=O)CC2=CNC=3N=CC=CC23)=CC1,,Z1400780364,299.75,100,4,50,1166137-Y4-01,N05,Achiral
ClC=1C=CC=C(NC(=O)CC2=CNC=3N=CC=CC23)C1,,Z1400781098,285.72,97.6,4,50,1166137-Y4-01,O05,Achiral
CC(C(=O)NC=1C=NC=CC1C)C=2C=CC=C(Cl)C2,,Z1264525706,274.74,96.64,4,50,1166137-Y4-01,P05,Racemic or presumed racemic or meso
ClC=1C=CC=C(CNC(=O)CC2=CNC=3N=CC=CC23)C1,,Z1400783129,299.75,95,4,50,1166137-Y4-01,Q05,Achiral
CC(=O)N1CCN(CC=2C=CC=C(C#N)C2)CC1,,Z46180946,243.3,97,4,50,1166137-Y4-01,R05,Achiral
O=C(NC=1C=CC=NC1)NC=2C=CC=C(C#N)C2,,Z195739680,238.24,100,4,50,1166137-Y4-01,S05,Achiral
O=C(NC=1C=CC(C#N)=CC1)NC=2C=CC=NC2,,Z195735586,238.24,98.17,4,50,1166137-Y4-01,T05,Achiral
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=NC2,,Z280470232,248.66,100,4,50,1166137-Y4-01,U05,Achiral
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=CC2,,Z56871780,247.67,90.16,4,50,1166137-Y4-01,V05,Achiral
CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=C(F)C2,,Z30722976,286.32,100,4,50,1166137-Y4-01,W05,Achiral
CS(=O)(=O)NC=1C=CC=C(C1)C(=O)NC=2C=CC=C(C2)N3CCCC3=O,,Z102622686,373.42,97.29,4,50,1166137-Y4-01,X05,Achiral
ClC=1C=CC=C(C1)C(=O)NC=2C=CC=NC2,,Z31791487,232.66,91,4,50,1166137-Y4-01,Y05,Achiral
CC(C(=O)O)C=1C=CC2=C(C1)NC=3C=CC(Cl)=CC32,,Z1530425063,273.71,100,4,50,1166137-Y4-01,Z05,Racemic or presumed racemic or meso
CCCNC(=O)C(C)NC(=O)N(C)CC1=CSC(C)=N1,,Z900735246,298.4,95.48,4,50,1166137-Y4-01,AA05,Racemic or presumed racemic or meso
O=C(C=CC=CC=1C=CC=2OCOC2C1)N3CCCCC3,,Z104476830,285.33,100,4,50,1166137-Y4-01,AB05,Achiral
COC=1C=CC=2NC=C(CCNS(=O)(=O)C)C2C1,,Z1316790959,268.33,100,4,50,1166137-Y4-01,AC05,Achiral
CC=1C=CN=C(NC(=O)CC=2C=CC=3C=CC=CC3C2)C1,,Z71390073,276.33,96.93,4,50,1166137-Y4-01,AD05,Achiral
CC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CS2,,Z29501928,274.35,92.56,4,50,1166137-Y4-01,AE05,Achiral
CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl,,Z561717446,260.76,96.19,4,50,1166137-Y4-01,AF05,Achiral
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=CC2Cl,,Z241957544,282.12,100,4,50,1166137-Y4-01,A06,Achiral
ClCC(=O)N1CCC(CC1)C(=O)N2CCCCC2,,Z291278798,272.77,97.83,4,50,1166137-Y4-01,B06,Achiral
CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC=2C=CC=CC2)NC(=O)OCC3=CN=CS3)CC=4C=CC=CC4,,Z1521553599,720.94,95,4,50,1166137-Y4-01,C06,Diastereomeric mixture
CNS(=O)(=O)CC=1C=CC=2NC=C(CCN(C)C)C2C1.OC(=O)CCC(=O)O,,Z1544404947,413.48,95,4,50,1166137-Y4-01,D06,Achiral
CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC=2C=CC=CC2)NC(=O)COC=3C(C)=CC=CC3C)CC=4C=CC=CC4,,Z2235801862,628.8,95,4,50,1166137-Y4-01,E06,Diastereomeric mixture
COC=1C=CC=2NC=C(CCNC(=O)C)C2C1,,Z1191880499,232.27,95,4,50,1166137-Y4-01,F06,Achiral
CC=1C=CC(=CC1)C2=CC(=NN2C=3C=CC(=CC3)S(=O)(=O)N)C(F)(F)F,,Z1258938406,381.37,100,4,50,1166137-Y4-01,G06,Achiral
CCC(=O)O[C@@H](OP(=O)(CCCCC=1C=CC=CC1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3)C(C)C,,Z3207130728,563.66,100,4,50,1166137-Y4-01,H06,Diastereomeric mixture
CCC(=O)NCC[C@@H]1CCC=2C=CC=3OCCC3C12,,Z2037281108,259.34,100,4,50,1166137-Y4-01,I06,Single known enantiomer
O=C(CC1=CNC=2N=CC=CC12)NCC=3C=CC(C#N)=CN3,,Z1767447079,291.3,100,4,50,1166137-Y4-01,J06,Achiral
ClC=1C=CC(CNC(=O)CC2=CNC=3N=CC=CC23)=NC1,,Z1593808911,300.74,100,4,50,1166137-Y4-01,K06,Achiral
O=C(CC1=CNC=2N=CC=CC12)NC=3C=CC=C(C#N)C3,,Z1400784309,276.29,100,4,50,1166137-Y4-01,L06,Achiral
Cl.CC(=O)N1CCN(CC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)CC1,,Z102844650,376.85,,4,50,1166137-Y4-01,M06,Achiral
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3,,Z4439011578,467.48,100,4,50,1166137-Y4-01,N06,Racemic or presumed racemic or meso
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C,,Z4439011564,506.43,83.38,4,50,1166137-Y4-01,O06,Racemic or presumed racemic or meso
CSC=1C=CC(=CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,,Z4439011605,383.5,100,4,50,1166137-Y4-01,P06,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3)=C(C)C1,,Z4438424250,447.54,95.45,4,50,1166137-Y4-01,Q06,Racemic or presumed racemic or meso
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)S(F)(F)(F)(F)F)C=2C=CC=NC2,,Z4439011611,463.46,82.44,4,50,1166137-Y4-01,R06,Racemic or presumed racemic or meso
ClC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,,Z4438424283,448.92,95.87,4,50,1166137-Y4-01,S06,Racemic or presumed racemic or meso
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3,,Z4439011586,456.57,83.25,4,50,1166137-Y4-01,T06,Racemic or presumed racemic or meso
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3,,Z4439011587,457.56,91.75,4,50,1166137-Y4-01,U06,Diastereomeric mixture
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(OC)=CC2C)C=3C=CC=NC3)C(=O)C=C,,Z4438424255,459.53,92.79,4,50,1166137-Y4-01,V06,Diastereomeric mixture
BrC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,,Z4439011556,493.37,96.22,4,50,1166137-Y4-01,W06,Racemic or presumed racemic or meso
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,,Z4439011613,395.49,100,4,50,1166137-Y4-01,X06,Diastereomeric mixture
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3)=CC1,,Z4439011540,433.52,98.34,4,50,1166137-Y4-01,Y06,Racemic or presumed racemic or meso
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,,Z4438424285,448.94,83,4,inaccurete ,1166137-Y4-01,Z06,Racemic or presumed racemic or meso
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4,,Z4439011582,456.55,100,4,inaccurete ,1166137-Y4-01,AA06,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=CC1,,Z4439011546,513.48,91.96,4,inaccurete ,1166137-Y4-01,AB06,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)=C(C)C1,,Z4439011520,448.51,96.7,4,inaccurete ,1166137-Y4-01,AC06,Racemic or presumed racemic or meso
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=C(F)C2C)C=3C=CC=NC3)C(=O)C=C,,Z4439011603,459.55,96.27,4,inaccurete ,1166137-Y4-01,AD06,Racemic or presumed racemic or meso
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,,Z4438424214,493.39,96.32,4,inaccurete ,1166137-Y4-01,AE06,Racemic or presumed racemic or meso
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3,,Z4439011581,446.54,87.4,4,inaccurete ,1166137-Y4-01,AF06,Racemic or presumed racemic or meso
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C,,Z4439011560,493.39,84,4,inaccurete ,1166137-Y4-01,A07,Racemic or presumed racemic or meso
FC(F)(F)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,,Z4438424211,504.29,86.69,4,inaccurete ,1166137-Y4-01,B07,Racemic or presumed racemic or meso
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)C1,,Z4439011525,432.51,85.43,4,inaccurete ,1166137-Y4-01,C07,Racemic or presumed racemic or meso
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)C1,,Z4438424264,442.55,83,4,inaccurete ,1166137-Y4-01,D07,Racemic or presumed racemic or meso
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3)C1,,Z4438424265,443.53,97.79,4,inaccurete ,1166137-Y4-01,E07,Diastereomeric mixture
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3,,Z4439011588,442.55,98.6,4,inaccurete ,1166137-Y4-01,F07,Racemic or presumed racemic or meso
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,,Z4438424215,494.38,100,4,inaccurete ,1166137-Y4-01,G07,Diastereomeric mixture
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C2=CC(=NN2)C(C)(C)C)C=3C=CC=NC3,,Z4439011584,445.55,88.54,4,inaccurete ,1166137-Y4-01,H07,Racemic or presumed racemic or meso
CC(C)(C)C=1C=C(NN1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,,Z4439011532,437.92,93,4,inaccurete ,1166137-Y4-01,I07,Racemic or presumed racemic or meso
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,,Z4438424286,449.92,95.75,4,inaccurete ,1166137-Y4-01,J07,Diastereomeric mixture
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=C(ON1)C(C)(C)C)C=2C=CC=NC2,,Z4439011607,384.47,93.92,4,inaccurete ,1166137-Y4-01,K07,Racemic or presumed racemic or meso
CSC=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,,Z4438424281,437.94,90.57,4,inaccurete ,1166137-Y4-01,L07,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,,Z4439011543,444.5,100,4,inaccurete ,1166137-Y4-01,M07,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3)=C(C)C1,,Z4439011523,444.52,89.29,4,inaccurete ,1166137-Y4-01,N07,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=C(C)C1,,Z4438424253,527.5,100,4,inaccurete ,1166137-Y4-01,O07,Racemic or presumed racemic or meso
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3,,Z4439011585,525.53,90.99,4,inaccurete ,1166137-Y4-01,P07,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)=C(C)C1,,Z4438424254,458.55,100,4,inaccurete ,1166137-Y4-01,Q07,Racemic or presumed racemic or meso
