CID,SMILES,Comments
EDG-MED-ba1ac7b9-5,CCC(CO)N1CCN(C(=O)CC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,Parallel
EDG-MED-ba1ac7b9-6,CC(C)N(CC#N)C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Parallel
EDG-MED-ba1ac7b9-7,CC1OCCN1C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Parallel
EDG-MED-ba1ac7b9-8,N#CCN(C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)C1CC1,Parallel
EDG-MED-ba1ac7b9-9,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCCCC1c1nc[nH]n1,Parallel
EDG-MED-ba1ac7b9-10,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCCCC1c1cc[nH]n1,Parallel
EDG-MED-ba1ac7b9-11,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCCCC1c1cn[nH]c1,Parallel
EDG-MED-ba1ac7b9-12,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCCC1c1nnn[nH]1,Parallel
EDG-MED-ba1ac7b9-13,CN1C[C@@H]2C[C@H]1CN2C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Parallel
EDG-MED-ba1ac7b9-14,CN1CCN(C(=O)CC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1C#N,Parallel
EDG-MED-ba1ac7b9-15,CC1CN(C)CCN1C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Parallel
EDG-MED-ba1ac7b9-16,Cn1cncc1CN(C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)C1CC1,Parallel
EDG-MED-ba1ac7b9-17,Cn1ccnc1CN(C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)C1CC1,Parallel
EDG-MED-ba1ac7b9-18,CC1Cn2nccc2CN1C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Parallel
EDG-MED-ba1ac7b9-19,CC1c2nncn2CCN1C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Parallel
EDG-MED-ba1ac7b9-20,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCOCC1CC(F)F,Parallel
EDG-MED-ba1ac7b9-21,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCCC1Cn1ccnc1,Parallel
EDG-MED-ba1ac7b9-22,NC(=O)C1Cc2[nH]cnc2CN1C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Parallel
EDG-MED-ba1ac7b9-23,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1C[C@@H]2C[C@H]1CN2CC(F)F,Parallel
EDG-MED-ba1ac7b9-24,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N(CC(F)(F)F)C1COC1,Parallel
EDG-MED-ba1ac7b9-25,CC1CN(C(=O)CC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CCN1CCO,Parallel
EDG-MED-ba1ac7b9-26,C[C@H]1CN(C(=O)CC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)[C@H](C)CN1CCO,Parallel
EDG-MED-ba1ac7b9-27,CC1CN(CCO)CCN1C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Parallel
EDG-MED-ba1ac7b9-28,CN(CCO)C1CCN(C(=O)CC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,Parallel
EDG-MED-ba1ac7b9-29,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N(Cc1ccc(O)cn1)C1CC1,Parallel
EDG-MED-ba1ac7b9-30,CN1CCC(N(CCO)C(=O)CC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,Parallel
EDG-MED-ba1ac7b9-31,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCN(C2CCCOC2)CC1,Parallel
EDG-MED-ba1ac7b9-32,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCN(C2CCOCC2)CC1,Parallel
ALP-UNI-8e43a71e-1,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCS(=O)(=O)N2CCCCC12,Parallel
ALP-UNI-8e43a71e-2,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCC2C1CCCN2CCO,Parallel
ALP-UNI-8e43a71e-4,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC1CCN(c2ccn[nH]2)C1=O,Parallel
ALP-UNI-8e43a71e-7,N#CCCN1CCN(C(=O)CC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,Parallel
ALP-UNI-8e43a71e-8,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCN(CCCO)CC1,Parallel
ALP-UNI-8e43a71e-10,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCN(CC(F)(F)CO)CC1,Parallel
ALP-UNI-8e43a71e-11,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCC(Cc2nn[nH]n2)CC1,Parallel
ALP-UNI-8e43a71e-12,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)Nc1ccn(C2CCNC2=O)n1,Parallel
ALP-UNI-8e43a71e-13,Cn1nc2c(cc1=O)CN(C(=O)CC1(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc31)CC2,Parallel
ALP-UNI-8e43a71e-14,Cc1cc(=O)n2[nH]c(NC(=O)CC3(C(=O)Nc4cncc5ccccc45)CCOc4ccc(Cl)cc43)nc2n1,Parallel
ALP-UNI-8e43a71e-15,NC(=O)C1CC2CC(NC(=O)CC3(C(=O)Nc4cncc5ccccc45)CCOc4ccc(Cl)cc43)C2C1,Parallel
ALP-UNI-8e43a71e-16,NS(=O)(=O)c1ccc(CNC(=O)CC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cc1,Parallel
EDJ-MED-4f704dc9-2,COCC1(CC(=O)Nc2cc(Cl)c(Cl)cc12)C(=O)Nc1cncc2ccccc12,
EDJ-MED-4f704dc9-1,COC1(CCNc2cc(Cl)c(Cl)cc12)C(=O)Nc1cncc2ccccc12,
EDJ-MED-37aac4bd-4,COC1(CCOc2c(F)cc(F)cc12)C(=O)Nc1cncc2ccccc12,
EDJ-MED-37aac4bd-2,COCC1(CCOc2cc(Cl)c(Cl)cc12)C(=O)Nc1cncc2ccccc12,
ALP-POS-fe871b40-16,Clc1cc2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2cc1Cl,
ALP-POS-fe871b40-12,COC1(CCNc2cc(F)c(Cl)cc12)C(=O)Nc1cncc2ccccc12,
ALP-POS-fe871b40-11,COC1(CCOc2cc(F)c(Cl)cc12)C(=O)Nc1cncc2ccccc12,
ALP-POS-fe871b40-4,COC1(CCNc2c(cc(Cl)cc12)C#N)C(=O)Nc1cncc2ccccc12,
ALP-POS-fe871b40-2,Clc1cc(C#N)c2NCCC(C(=O)Nc3cncc4ccccc34)c2c1,
