catalog_ID,shipment_ID,Origin,Covalent,stereochemistry,MW,purity,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
Z4457849231,Z4457849231,Ugi library-2,Yes,Racemic or presumed racemic or meso,377.47,97.94,,,0,4,100,1181202-Y4-01,A07,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-[(cyclopropylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457849236,Z4457849236,Ugi library-2,Yes,Racemic or presumed racemic or meso,382.49,82.19,,,0,4,100,1181202-Y4-01,AC05,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C2=CN=CN2,N-[(tert-butylcarbamoyl)(1H-imidazol-5-yl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849241,Z4457849241,Ugi library-2,Yes,Racemic or presumed racemic or meso,472.41,98.45,,,0,4,100,1181202-Y4-01,AA05,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=NC=C(Br)C2,N-[(5-bromopyridin-3-yl)(tert-butylcarbamoyl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849242,Z4457849242,Ugi library-2,Yes,Racemic or presumed racemic or meso,486.44,95.62,,,0,4,100,1181202-Y4-01,Y05,CC=1C(Br)=CN=CC1C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C,N-[(5-bromo-4-methylpyridin-3-yl)(tert-butylcarbamoyl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849239,Z4457849239,Ugi library-2,Yes,Racemic or presumed racemic or meso,443.58,100.00,,,0,4,100,1181202-Y4-01,AF05,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=NC=C3C=CC=CC23,N-[(tert-butylcarbamoyl)(isoquinolin-4-yl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849240,Z4457849240,Ugi library-2,Yes,Racemic or presumed racemic or meso,427.96,100.00,,,0,4,100,1181202-Y4-01,AE05,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=NC=C(Cl)C2,N-[(tert-butylcarbamoyl)(5-chloropyridin-3-yl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4461624347,JAN-GHE-bf4-9,Acrylamide,Yes,Achiral,294.35,95.13,,,0,4,100,1181202-Y4-01,Z06,C=CC(=O)N1CCN(CC2=CNC=3C=CC(C#N)=CC23)CC1,3-{[4-(prop-2-enoyl)piperazin-1-yl]methyl}-1H-indole-5-carbonitrile
Z4461624335,DAN-LON-a5f-8,Chloroacetamide,Yes,Diastereomeric mixture,299.19,100.00,,,0,4,100,1181202-Y4-01,T06,ClCC(=O)N1CC2CC1CN2CC=3C=CC=C(Cl)C3,"2-chloro-1-{5-[(3-chlorophenyl)methyl]-2,5-diazabicyclo[2.2.1]heptan-2-yl}ethan-1-one"
Z4461624337,NEH-REV-107-5,Chloroacetamide,Yes,Achiral,284.73,94.14,,,0,4,100,1181202-Y4-01,W06,OC=1C=CC(O)=C(CN2CCN(CC2)C(=O)CCl)C1,"2-chloro-1-{4-[(2,5-dihydroxyphenyl)methyl]piperazin-1-yl}ethan-1-one"
Z20242202,SER-UNI-985-4,Non-covalent Wave-1,Yes,Achiral,378.45,93.85,,,0,4,100,1181202-Y4-01,N06,CCC=1C=CC=CC1NC=2N=C(N)N=C(CSC3=NN=C4C=CC=CN34)N2,"N2-(2-ethylphenyl)-6-({[1,2,4]triazolo[4,3-a]pyridin-3-ylsulfanyl}methyl)-1,3,5-triazine-2,4-diamine"
Z4444622216,GAB-REV-70c-8,Non-covalent Wave-1,Yes,Achiral,370.42,100.00,,,0,4,100,1181202-Y4-01,G06,CN(CC(=O)NC=1C=NC=CC1C)S(=O)(=O)C=2C=CC=C3C=CC=NC23,N-(4-methylpyridin-3-yl)-2-(N-methylquinoline-8-sulfonamido)acetamide
Z638912400,Z638912400,Non-covalent Wave-1,Yes,Racemic or presumed racemic or meso,298.72,96.00,,,0,4,100,1181202-Y4-01,M06,ClC=1C=CC=C(C1)C(=O)C(C#N)C(=O)NC=2C=CC=CC2,3-(3-chlorophenyl)-2-cyano-3-oxo-N-phenylpropanamide
Z4461624254,JOO-IND-b13-2,Chloroacetamide,Yes,Diastereomeric mixture,312.79,92.31,,,0,4,100,1181202-Y4-01,S06,FC(Cl)C(=O)N1CCCC(C1)C2=NC=3C=CC=CC3S2,"1-[3-(1,3-benzothiazol-2-yl)piperidin-1-yl]-2-chloro-2-fluoroethan-1-one"
Z4461624285,JUA-UNI-bc0-3_thio_pH,Acrylamide,Yes,Achiral,365.85,100.00,,,0,4,100,1181202-Y4-01,Y06,ClC=1C=CC=CC1CN(CCN2CCOCC2)C(=O)CNC(=O)C=C,N-({[(2-chlorophenyl)methyl][2-(morpholin-4-yl)ethyl]carbamoyl}methyl)prop-2-enamide
Z4459610281,Z4459610281,Ugi library-2,Yes,Racemic or presumed racemic or meso,366.45,92.10,,,0,4,100,1181202-Y4-01,V05,CC=1C=C(N)C=C(C1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,N-(3-amino-5-methylphenyl)-N-[(tert-butylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4461624193,JOH-UNI-27a-29_thio_pH,Chloroacetamide,Yes,Racemic or presumed racemic or meso,301.21,98.13,,,0,4,100,1181202-Y4-01,U06,CC1CN(CC=2C=CC=C(Cl)C2)CCN1C(=O)CCl,2-chloro-1-{4-[(3-chlorophenyl)methyl]-2-methylpiperazin-1-yl}ethan-1-one
Z4461624330,PAU-UNI-8cd-1,Chloroacetamide,Yes,Achiral,321.63,100.00,,,0,4,100,1181202-Y4-01,V06,ClCC(=O)N1CCN(CC=2C=C(Cl)C=C(Cl)C2)CC1,"2-chloro-1-{4-[(3,5-dichlorophenyl)methyl]piperazin-1-yl}ethan-1-one"
Z4461624332,JOO-IND-637-2,Chloroacetamide,Yes,Racemic or presumed racemic or meso,316.77,100.00,,,0,4,100,1181202-Y4-01,AB06,FC(Cl)C(=O)NC=1C=CC=C(C1)C(=O)N2CCSCC2,2-chloro-2-fluoro-N-[3-(thiomorpholine-4-carbonyl)phenyl]acetamide
Z4461624304,DUN-NEW-f8c-22,Chloroacetamide,Yes,Racemic or presumed racemic or meso,316.80,100.00,,,0,4,100,1181202-Y4-01,X06,CS(=O)(=O)N1CCN(CC1C=2C=CC=CC2)C(=O)CCl,2-chloro-1-(4-methanesulfonyl-3-phenylpiperazin-1-yl)ethan-1-one
Z4461624310,MAK-UNK-af8-2,Chloroacetamide,Yes,Racemic or presumed racemic or meso,294.81,100.00,,,0,4,100,1181202-Y4-01,R06,CC(CCC=1C=CC=CC1)N2CCN(CC2)C(=O)CCl,2-chloro-1-[4-(4-phenylbutan-2-yl)piperazin-1-yl]ethan-1-one
Z4457849227,Z4457849227,Ugi library-2,Yes,Racemic or presumed racemic or meso,427.53,100.00,,,0,4,100,1181202-Y4-01,S05,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC=2C=CC=CC2)C=3C=CC=NC3)C(=O)C=C,N-[(benzylcarbamoyl)(pyridin-3-yl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4444622186,AGN-NEW-c7b-4,Non-covalent Wave-1,No,Achiral,271.70,100.00,,,0,4,100,1181202-Y4-01,E06,ClC=1C=CC=C(CC(=O)NC=2C=CC=NC2C#N)C1,2-(3-chlorophenyl)-N-(2-cyanopyridin-3-yl)acetamide
Z90167687,AUS-ARG-7cf-15,Non-covalent Wave-2,No,Racemic or presumed racemic or meso,409.50,100.00,,,0,4,100,1181202-Y4-01,O06,O=S1(=O)CCC(C1)N2CCN(CC2)C=3N=C(N=C4C=CC=CC34)C=5C=CC=NC5,"3-{4-[2-(pyridin-3-yl)quinazolin-4-yl]piperazin-1-yl}-1??-thiolane-1,1-dione"
Z4444622149,GAB-FAC-880-1,Non-covalent Wave-2,No,Achiral,358.79,97.69,,,0,4,100,1181202-Y4-01,B06,FC=1C=CC(NC(=O)NCCNC=2C=CN=C3C=C(Cl)C=CC23)=CC1,1-{2-[(7-chloroquinolin-4-yl)amino]ethyl}-3-(4-fluorophenyl)urea
Z1570773318,CHR-SOS-709-10,Non-covalent Wave-1,No,Achiral,283.11,100.00,,,0,4,100,1181202-Y4-01,Q06,OC=1C=CC(Cl)=CC1C(=O)NC=2C=NC=CC2Cl,5-chloro-N-(4-chloropyridin-3-yl)-2-hydroxybenzamide
Z1562119681,Z1562119681,Chloroacetamide,Yes,Racemic or presumed racemic or meso,286.79,97.14,,,0,4,100,1181202-Y4-01,AA06,CC(Cl)C(=O)N1CCC(CC1)C(=O)N2CCCCC2,2-chloro-1-[4-(piperidine-1-carbonyl)piperidin-1-yl]propan-1-one
Z445693752,MIH-UNI-6b9-5,Non-covalent Wave-1,No,Achiral,224.25,100.00,,,0,4,100,1181202-Y4-01,K06,OC=1C=CC(NCC=2C=CC=C(C#N)C2)=CC1,3-{[(4-hydroxyphenyl)amino]methyl}benzonitrile
Z4457849188,Z4457849188,Ugi Library-2,Yes,Diastereomeric mixture,449.54,95.44,,,0,4,100,1181202-Y4-01,R05,COC(=O)C1CC(C1)NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3,methyl 3-{2-[N-(4-tert-butylphenyl)prop-2-enamido]-2-(pyridin-3-yl)acetamido}cyclobutane-1-carboxylate
Z4450620215,KIM-UNI-2ee-1,Chloroacetamide,Yes,Achiral,303.18,95.00,,,0,4,100,1181202-Y4-01,I06,OC=1C=C(Cl)C=C(CN2CCN(CC2)C(=O)CCl)C1,2-chloro-1-{4-[(3-chloro-5-hydroxyphenyl)methyl]piperazin-1-yl}ethan-1-one
Z1209475970,CHR-SOS-709-21,Non-covalent Wave-1,No,Achiral,267.11,98.45,,,0,4,100,1181202-Y4-01,L06,ClC=1C=CC=C(C1)C(=O)NC=2C=NC=CC2Cl,3-chloro-N-(4-chloropyridin-3-yl)benzamide
Z4444735062,GAB-REV-70c-18,Non-covalent,No,Achiral,266.29,100.00,,,0,4,100,1181202-Y4-01,P06,CC=1C=CN=CC1NC(=O)CC=2C=CC=3NC=NC3C2,"2-(1H-1,3-benzodiazol-5-yl)-N-(4-methylpyridin-3-yl)acetamide"
Z4444621912,MAK-UNK-30a-12,Non-covalent,No,Achiral,330.34,100.00,,,0,4,100,1181202-Y4-01,F06,O=C(NC=1C=CC(NC=2C=CC(C#N)=CN2)=CC1)NC=3C=CC=NC3,3-{4-[(5-cyanopyridin-2-yl)amino]phenyl}-1-(pyridin-3-yl)urea
Z244459584,CHR-SOS-709-3,Non-covalent,No,Achiral,292.67,86.08,,,0,4,100,1181202-Y4-01,G07,OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC(=CC2)[N+](=O)[O-],5-chloro-2-hydroxy-N-(4-nitrophenyl)benzamide
Z2933493013,GIA-UNK-3f3-1,Non-covalent,No,Achiral,254.32,98.16,,,0,4,100,1181202-Y4-01,D06,O=C(CC(=O)N1CCOCC1)NC2CCCCC2,N-cyclohexyl-3-(morpholin-4-yl)-3-oxopropanamide
Z4266576100,DUN-NEW-f8c-1,Non-covalent,No,Racemic diastereomer with known relative stereochemistry,274.35,100.00,,,0,4,100,1181202-Y4-01,AD06,"NC(=O)[C@@H]1CN(C[C@H]1C=2C=CC=CC2)C3CCOCC3 |&1:3,7,r|","rac-(3R,4S)-1-(oxan-4-yl)-4-phenylpyrrolidine-3-carboxamide"
Z2933493882,GIA-UNK-3f3-6,Non-covalent,No,Achiral,262.30,98.27,,,0,4,100,1181202-Y4-01,J06,O=C(CC(=O)N1CCOCC1)NCC=2C=CC=CC2,N-benzyl-3-(morpholin-4-yl)-3-oxopropanamide
Z4444622118,BAR-COM-4e0-40,Non-covalent,No,Achiral,312.32,100.00,,,0,4,100,1181202-Y4-01,C06,OCCOC=1N=CC=CC1C(=O)NCC=2C=NN3C=CC=CC23,"2-(2-hydroxyethoxy)-N-({pyrazolo[1,5-a]pyridin-3-yl}methyl)pyridine-3-carboxamide"
Z1673773262,BAR-COM-4e0-42,Non-covalent,No,Achiral,363.19,100.00,,,0,4,100,1181202-Y4-01,AC06,ClC=1C=CC(OC=2C=CC=CC2C(=O)NCC3=CC=NO3)=C(Cl)C1,"2-(2,4-dichlorophenoxy)-N-[(1,2-oxazol-5-yl)methyl]benzamide"
Z4444622117,GAB-REV-70c-13,Non-covalent,No,Achiral,284.31,91.00,,,0,4,100,1181202-Y4-01,A06,CC=1C=CN=CC1NC(=O)CNC(=O)CC=2C=CC=NC2,N-{[(4-methylpyridin-3-yl)carbamoyl]methyl}-2-(pyridin-3-yl)acetamide
Z2313212158,BAR-COM-4e0-56,Non-covalent,No,Racemic or presumed racemic or meso,339.39,100.00,,,0,4,100,1181202-Y4-01,H06,O=C(NC(CC=1C=CC=CC1)C(=O)N2CCCC2)NC=3C=CN=NC3,3-[1-oxo-3-phenyl-1-(pyrrolidin-1-yl)propan-2-yl]-1-(pyridazin-4-yl)urea
Z4457849189,Z4457849189,Ugi library-2,Yes,Racemic or presumed racemic or meso,437.53,95.84,,,0,4,100,1181202-Y4-01,M05,CCOC(=O)CCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,ethyl 3-{2-[N-(4-tert-butylphenyl)prop-2-enamido]-2-(pyridin-3-yl)acetamido}propanoate
Z4457849215,Z4457849215,Ugi library-2,Yes,Racemic or presumed racemic or meso,428.52,90.02,,,0,4,100,1181202-Y4-01,D07,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC=2C=CC=NC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-[(pyridin-3-yl)({[(pyridin-3-yl)methyl]carbamoyl})methyl]prop-2-enamide
Z4457849217,Z4457849217,Ugi library-2,Yes,Racemic or presumed racemic or meso,365.46,100.00,,,0,4,100,1181202-Y4-01,T05,CCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-[(ethylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457849214,Z4457849214,Ugi library-2,Yes,Racemic or presumed racemic or meso,409.52,97.28,,,0,4,100,1181202-Y4-01,C07,COCCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-{[(3-methoxypropyl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849210,Z4457849210,Ugi library-2,Yes,Racemic or presumed racemic or meso,445.52,100.00,,,0,4,100,1181202-Y4-01,J05,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC=2C=CC(F)=CC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[(4-fluorophenyl)methyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
Z4457849213,Z4457849213,Ugi library-2,Yes,Racemic or presumed racemic or meso,395.49,96.85,,,0,4,100,1181202-Y4-01,B05,COCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-{[(2-methoxyethyl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849224,Z4457849224,Ugi library-2,Yes,Racemic or presumed racemic or meso,444.52,95.25,,,0,4,100,1181202-Y4-01,E07,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3)=CN1,N-(4-tert-butylphenyl)-N-{[(6-methoxypyridin-3-yl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849226,Z4457849226,Ugi library-2,Yes,Racemic or presumed racemic or meso,421.53,98.85,,,0,4,100,1181202-Y4-01,N05,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCOCC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-{[(oxan-4-yl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849222,Z4457849222,Ugi library-2,Yes,Racemic or presumed racemic or meso,405.53,100.00,,,0,4,100,1181202-Y4-01,C05,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCCC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-[(cyclopentylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457849218,Z4457849218,Ugi library-2,Yes,Diastereomeric mixture,393.52,100.00,,,0,4,100,1181202-Y4-01,L05,CCC(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-{[(butan-2-yl)carbamoyl](pyridin-3-yl)methyl}-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849219,Z4457849219,Ugi library-2,Yes,Diastereomeric mixture,421.53,95.47,,,0,4,100,1181202-Y4-01,A05,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC2CCCO2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[(oxolan-2-yl)methyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
Z4457849195,Z4457849195,Ugi library-2,Yes,Racemic or presumed racemic or meso,419.55,100.00,,,0,4,100,1181202-Y4-01,F05,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCCCC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-[(cyclohexylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457849197,Z4457849197,Ugi library-2,Yes,Racemic or presumed racemic or meso,425.58,100.00,,,0,4,100,1181202-Y4-01,H05,CSCCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-({[3-(methylsulfanyl)propyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
Z4457849194,Z4457849194,Ugi library-2,Yes,Racemic or presumed racemic or meso,451.55,81.00,,,0,4,100,1181202-Y4-01,O05,CCOC(=O)CCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,ethyl 4-{2-[N-(4-tert-butylphenyl)prop-2-enamido]-2-(pyridin-3-yl)acetamido}butanoate
Z4457849190,Z4457849190,Ugi library-2,Yes,Racemic or presumed racemic or meso,351.44,93.74,,,0,4,100,1181202-Y4-01,I05,CNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-[(methylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457849191,Z4457849191,Ugi library-2,Yes,Racemic or presumed racemic or meso,471.54,95.98,,,0,4,100,1181202-Y4-01,AF06,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=3OCCOC3C2)C=4C=CC=NC4)C(=O)C=C,"N-(4-tert-butylphenyl)-N-{[(2,3-dihydro-1,4-benzodioxin-6-yl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide"
Z4457849206,Z4457849206,Ugi library-2,Yes,Diastereomeric mixture,421.53,96.60,,,0,4,100,1181202-Y4-01,U05,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC2CCOC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[(oxolan-3-yl)methyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
Z4457849208,Z4457849208,Ugi library-2,Yes,Racemic or presumed racemic or meso,379.49,100.00,,,0,4,100,1181202-Y4-01,G05,CC(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-{[(propan-2-yl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849205,Z4457849205,Ugi library-2,Yes,Racemic or presumed racemic or meso,443.53,100.00,,,0,4,100,1181202-Y4-01,B07,COC=1C=CC=CC1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3,N-(4-tert-butylphenyl)-N-{[(2-methoxyphenyl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849201,Z4457849201,Ugi library-2,Yes,Racemic or presumed racemic or meso,391.50,100.00,,,0,4,100,1181202-Y4-01,E05,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-[(cyclobutylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457849204,Z4457849204,Ugi library-2,Yes,Racemic or presumed racemic or meso,411.56,100.00,,,0,4,100,1181202-Y4-01,K05,CSCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-({[2-(methylsulfanyl)ethyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
