SMILES,CID,Comments,Amount,,,
COc1ccc2ncc(NC(=O)Cc3cccc(Cl)c3)n2c1,EDJ-MED-6e43a462-2,"From EN300-207724 and EN300-149707
Using route from https://patents.google.com/patent/EP2818471A1/zh scheme 3",>= 15 mg,,,
COc1cccc2ncc(NC(=O)Cc3cccc(Cl)c3)n12,EDJ-MED-6e43a462-3,One step if we order https://www.emolecules.com/search/#?querytype=emoleculesid&p=1&query=64115109,>= 15 mg,,,
Cc1cccc2ncc(NC(=O)Cc3cccc(Cl)c3)n12,EDJ-MED-b24713dc-2,"Need to remake EN300-1197268, one step from there",>= 15 mg,,,
Cc1ccn2c(NC(=O)Cc3cccc(Cl)c3)cnc2c1,EDJ-MED-b24713dc-1,One step from https://www.enaminestore.com/catalog/EN300-2949261,>= 15 mg,,,
Cc1ccc2ncc(NC(=O)Cc3cccc(Cl)c3)n2c1,EDJ-MED-b24713dc-3,"Need to remake EN300-1197269, one step from there",>= 15 mg,,,
O=C(Nc1cnn2ccccc12)C1CCS(=O)(=O)c2ccc(Cl)cc21,EDJ-MED-dd2a8363-2,EN300-6759845 + already made BB,>= 15 mg,,,
O=C1NCC(C(=O)Nc2cnn3ccccc23)c2cc(Cl)ccc21,EDJ-MED-dd2a8363-1,One step from already made BB,>= 15 mg,,,
Cc1cccn2ncc(NC(=O)C3CNC(=O)c4ccc(Cl)cc43)c12,EDJ-MED-dd2a8363-4,EN300-2010466 + already made BB,>= 15 mg,,,
O=C1NCC(C(=O)Nc2cnn3c2CCCC3)c2cc(Cl)ccc21,EDJ-MED-dd2a8363-3,EN300-342346 + already made BB,>= 15 mg,,,
CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-eb111c00-1,SAR around lactam,>= 15 mg,,,
COCCN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-eb111c00-2,SAR around lactam,>= 15 mg,,,
O=C(Nc1cncc2ccccc12)C1CN(CC2CC2)C(=O)c2ccc(Cl)cc21,EDJ-MED-eb111c00-3,SAR around lactam,>= 15 mg,,,
CS(=O)(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-eb111c00-4,SAR around lactam,>= 15 mg,,,
O=C(Cc1cccc(Cl)c1)Nc1cncn1-c1ccccc1,BEN-DND-1e24cf73-1,See routes in US-20150291601-A1US-20150291601-A1 or US-8907092-B2,>= 15 mg,,,
O=C(Nc1cncn1-c1ccccn1)[C@@H]1CCOc2ccc(Cl)cc21,RAL-THA-9041a04d-1,See routes in US-20150291601-A1US-20150291601-A1 or US-8907092-B2,>= 15 mg,,,
O=C(Nc1cncn1-c1cccnc1)[C@@H]1CCOc2ccc(Cl)cc21,RAL-THA-9041a04d-4,See routes in US-20150291601-A1US-20150291601-A1 or US-8907092-B2,>= 15 mg,,,
O=C(Nc1cncn1-c1ccncc1)[C@@H]1CCOc2ccc(Cl)cc21,RAL-THA-9041a04d-5,See routes in US-20150291601-A1US-20150291601-A1 or US-8907092-B2,>= 15 mg,,,
N#CC1CN(S(=O)(=O)NCc2ccc(Cl)cc2CC(=O)Nc2cncc3ccccc23)C1,ALP-POS-d054b76b-5,"EN300-210674 + EN300-113207 +
Already made isoquinoline amine + already made sulfonyl chloride? Or alternative route given.",>= 15 mg,,,
CS(=O)(=O)NCc1ccc(Cl)cc1CC(=O)Nc1cncc2ccccc12,ALP-POS-6479a3a9-2,Similar to above,>= 15 mg,,,
CN(C)Cc1cc2c(NC(=O)C3CCOc4ccc(Cl)cc43)cncc2s1,MAT-POS-ee5e8e94-1,Primary amine already being made,>= 15 mg,,,
