SMILES,CID,Comments,Amount,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(C2)N=C(N)N(c2cncc4ccccc24)C3=O)CC1,LUO-POS-eaf50f21-1,"See doi.org/10.1021/jm049657b and https://doi.org/10.1021/jm4002154
",35 mg,,,
CNC1=NC2(CN(S(=O)(=O)CC3(C#N)CC3)Cc3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,LUO-POS-eaf50f21-2,https://doi.org/10.1021/jm4002154,35 mg,,,
CN1CCN(S(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,LUO-POS-ed2cfb03-1,,35 mg,,,
CNS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,LUO-POS-ed2cfb03-2,,35 mg,,,
CN1CCC(Oc2ccc3cncc(N4CCC5(CN(S(=O)(=O)CC6(C#N)CC6)Cc6ccc(Cl)cc65)C4=O)c3c2)CC1,LUO-POS-d1147590-1,,35 mg,,,
CNC(=O)CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,PET-UNK-14142a25-1,High priority enantiopure scale up,> 35 mg,,,
CNC(=O)CN1C[C@@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,LUO-POS-9931618f-2,High priority enantiopure scale up,> 35 mg,,,
CNC(=O)CN1C[C@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O,LUO-POS-8c3e556a-1,High priority enantiopure scale up,> 35 mg,,,
CNC(=O)CN1C[C@@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O,LUO-POS-8c3e556a-2,High priority enantiopure scale up,> 35 mg,,,
CN(C)CCOc1ccc2cncc(N3CC[C@@]4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,LUO-POS-8484f2d3-1,High priority enantiopure scale up,> 35 mg,,,
CN(C)CCOc1ccc2cncc(N3CC[C@]4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,LUO-POS-8484f2d3-2,High priority enantiopure scale up,> 35 mg,,,
CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4ccc(F)cc34)C2=O)C1,LUO-POS-b4dec3be-1,High priority enantiopure scale up,> 35 mg,,,
CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4ccc(F)cc34)C2=O)C1,LUO-POS-b4dec3be-2,High priority enantiopure scale up,> 35 mg,,,
