SMILES,CID,creator,rationale,fragments,real_space,SCR,BB,link,covalent_frag,covalent_warhead,acrylamide,acrylamide_adduct,chloroacetamide,chloroacetamide_adduct,vinylsulfonamide,vinylsulfonamide_adduct,in_molport_or_mcule,in_emolecules
CC(=O)NCCNCc1cc(C#N)cnc1NC1CC1,JAN-GHE-fd8-11,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
CC(=O)N1CCN(Cc2cc(C#N)ccc2CNC(=O)N2CCOCC2)CC1,JAN-GHE-fd8-12,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
CCO,JAM-UNK-fcc-1,Jame Cole,Common sense,x0072,False,False,False,https://covid.postera.ai/covid/submissions/fcc74568-e4eb-48bd-b2ee-6f688162ce79,False,False,False,False,False,False,False,False,False,False
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,ALE-UNK-fca-1,Alexander Metz,"Lopinavir/ritonavir and similar substructures from catalog.

The combination lopinavir/ritonavir is currently tested against COVID-19, but ""no benefit was observed with lopinavir–ritonavir treatment beyond standard care"". (doi: 10.1056/NEJMoa2001282)

Reportedly, lopinavir has only mid-micromolar activity against SARS protease, ritonavir above 50 microM. (doi: 10.12688/f1000research.22457.1; doi: 10.1073/pnas.0403596101)

However, there is no crystal structure of the 2019-nCoV main protease with either of these two drugs that could clarify their potential for optimization against this target. Thus, I suggest lopinavir, ritonavir, and reasonably similar substructures available from catalog for soaking.

Procedure in KNIME:

1) search all substructures of lopinavir and ritonavir in MolPort
2) remove all redundant compounds and compounds with similarity < 0.5 (datawarrior SkelPheres) to either of the queries
3) remove all compounds void of a ring or containing amides (as substructures of amides)

Selection not based on or compared to fragment hits; x0072 selected as dummy.",x0072,False,False,EN300-7402887,https://covid.postera.ai/covid/submissions/fca05062-0f3e-4628-bbc6-11b77e72bb8e,False,False,False,False,False,False,False,False,False,False
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ALE-UNK-fca-2,Alexander Metz,"Lopinavir/ritonavir and similar substructures from catalog.

The combination lopinavir/ritonavir is currently tested against COVID-19, but ""no benefit was observed with lopinavir–ritonavir treatment beyond standard care"". (doi: 10.1056/NEJMoa2001282)

Reportedly, lopinavir has only mid-micromolar activity against SARS protease, ritonavir above 50 microM. (doi: 10.12688/f1000research.22457.1; doi: 10.1073/pnas.0403596101)

However, there is no crystal structure of the 2019-nCoV main protease with either of these two drugs that could clarify their potential for optimization against this target. Thus, I suggest lopinavir, ritonavir, and reasonably similar substructures available from catalog for soaking.

Procedure in KNIME:

1) search all substructures of lopinavir and ritonavir in MolPort
2) remove all redundant compounds and compounds with similarity < 0.5 (datawarrior SkelPheres) to either of the queries
3) remove all compounds void of a ring or containing amides (as substructures of amides)

Selection not based on or compared to fragment hits; x0072 selected as dummy.",x0072,False,False,EN300-119505,https://covid.postera.ai/covid/submissions/fca05062-0f3e-4628-bbc6-11b77e72bb8e,False,False,False,False,False,False,False,False,False,False
Cc1cccc(C)c1OCC(=O)NCCc1ccccc1,ALE-UNK-fca-3,Alexander Metz,"Lopinavir/ritonavir and similar substructures from catalog.

The combination lopinavir/ritonavir is currently tested against COVID-19, but ""no benefit was observed with lopinavir–ritonavir treatment beyond standard care"". (doi: 10.1056/NEJMoa2001282)

Reportedly, lopinavir has only mid-micromolar activity against SARS protease, ritonavir above 50 microM. (doi: 10.12688/f1000research.22457.1; doi: 10.1073/pnas.0403596101)

However, there is no crystal structure of the 2019-nCoV main protease with either of these two drugs that could clarify their potential for optimization against this target. Thus, I suggest lopinavir, ritonavir, and reasonably similar substructures available from catalog for soaking.

Procedure in KNIME:

1) search all substructures of lopinavir and ritonavir in MolPort
2) remove all redundant compounds and compounds with similarity < 0.5 (datawarrior SkelPheres) to either of the queries
3) remove all compounds void of a ring or containing amides (as substructures of amides)

Selection not based on or compared to fragment hits; x0072 selected as dummy.",x0072,Z26348840,False,False,https://covid.postera.ai/covid/submissions/fca05062-0f3e-4628-bbc6-11b77e72bb8e,False,False,False,False,False,False,False,False,False,True
O=C(COc1ccccc1)NCCc1ccccc1,ALE-UNK-fca-4,Alexander Metz,"Lopinavir/ritonavir and similar substructures from catalog.

The combination lopinavir/ritonavir is currently tested against COVID-19, but ""no benefit was observed with lopinavir–ritonavir treatment beyond standard care"". (doi: 10.1056/NEJMoa2001282)

Reportedly, lopinavir has only mid-micromolar activity against SARS protease, ritonavir above 50 microM. (doi: 10.12688/f1000research.22457.1; doi: 10.1073/pnas.0403596101)

However, there is no crystal structure of the 2019-nCoV main protease with either of these two drugs that could clarify their potential for optimization against this target. Thus, I suggest lopinavir, ritonavir, and reasonably similar substructures available from catalog for soaking.

Procedure in KNIME:

1) search all substructures of lopinavir and ritonavir in MolPort
2) remove all redundant compounds and compounds with similarity < 0.5 (datawarrior SkelPheres) to either of the queries
3) remove all compounds void of a ring or containing amides (as substructures of amides)

Selection not based on or compared to fragment hits; x0072 selected as dummy.",x0072,Z19735885,False,False,https://covid.postera.ai/covid/submissions/fca05062-0f3e-4628-bbc6-11b77e72bb8e,False,False,False,False,False,False,False,False,False,True
CCC(C)NC(=O)COc1c(C)cccc1C,ALE-UNK-fca-5,Alexander Metz,"Lopinavir/ritonavir and similar substructures from catalog.

The combination lopinavir/ritonavir is currently tested against COVID-19, but ""no benefit was observed with lopinavir–ritonavir treatment beyond standard care"". (doi: 10.1056/NEJMoa2001282)

Reportedly, lopinavir has only mid-micromolar activity against SARS protease, ritonavir above 50 microM. (doi: 10.12688/f1000research.22457.1; doi: 10.1073/pnas.0403596101)

However, there is no crystal structure of the 2019-nCoV main protease with either of these two drugs that could clarify their potential for optimization against this target. Thus, I suggest lopinavir, ritonavir, and reasonably similar substructures available from catalog for soaking.

Procedure in KNIME:

1) search all substructures of lopinavir and ritonavir in MolPort
2) remove all redundant compounds and compounds with similarity < 0.5 (datawarrior SkelPheres) to either of the queries
3) remove all compounds void of a ring or containing amides (as substructures of amides)

Selection not based on or compared to fragment hits; x0072 selected as dummy.",x0072,Z26349036,False,False,https://covid.postera.ai/covid/submissions/fca05062-0f3e-4628-bbc6-11b77e72bb8e,False,False,False,False,False,False,False,False,False,True
CCCC(=O)NC(CC)Cc1ccccc1,ALE-UNK-fca-6,Alexander Metz,"Lopinavir/ritonavir and similar substructures from catalog.

The combination lopinavir/ritonavir is currently tested against COVID-19, but ""no benefit was observed with lopinavir–ritonavir treatment beyond standard care"". (doi: 10.1056/NEJMoa2001282)

Reportedly, lopinavir has only mid-micromolar activity against SARS protease, ritonavir above 50 microM. (doi: 10.12688/f1000research.22457.1; doi: 10.1073/pnas.0403596101)

However, there is no crystal structure of the 2019-nCoV main protease with either of these two drugs that could clarify their potential for optimization against this target. Thus, I suggest lopinavir, ritonavir, and reasonably similar substructures available from catalog for soaking.

Procedure in KNIME:

1) search all substructures of lopinavir and ritonavir in MolPort
2) remove all redundant compounds and compounds with similarity < 0.5 (datawarrior SkelPheres) to either of the queries
3) remove all compounds void of a ring or containing amides (as substructures of amides)

Selection not based on or compared to fragment hits; x0072 selected as dummy.",x0072,Z57156886,False,FCH9216167,https://covid.postera.ai/covid/submissions/fca05062-0f3e-4628-bbc6-11b77e72bb8e,False,False,False,False,False,False,False,False,False,False
CCCCCC(C)NC(=O)COc1ccccc1,ALE-UNK-fca-7,Alexander Metz,"Lopinavir/ritonavir and similar substructures from catalog.

The combination lopinavir/ritonavir is currently tested against COVID-19, but ""no benefit was observed with lopinavir–ritonavir treatment beyond standard care"". (doi: 10.1056/NEJMoa2001282)

Reportedly, lopinavir has only mid-micromolar activity against SARS protease, ritonavir above 50 microM. (doi: 10.12688/f1000research.22457.1; doi: 10.1073/pnas.0403596101)

However, there is no crystal structure of the 2019-nCoV main protease with either of these two drugs that could clarify their potential for optimization against this target. Thus, I suggest lopinavir, ritonavir, and reasonably similar substructures available from catalog for soaking.

Procedure in KNIME:

1) search all substructures of lopinavir and ritonavir in MolPort
2) remove all redundant compounds and compounds with similarity < 0.5 (datawarrior SkelPheres) to either of the queries
3) remove all compounds void of a ring or containing amides (as substructures of amides)

Selection not based on or compared to fragment hits; x0072 selected as dummy.",x0072,Z54334314,False,False,https://covid.postera.ai/covid/submissions/fca05062-0f3e-4628-bbc6-11b77e72bb8e,False,False,False,False,False,False,False,False,False,True
CCCC(C)NC(=O)COc1ccccc1,ALE-UNK-fca-8,Alexander Metz,"Lopinavir/ritonavir and similar substructures from catalog.

The combination lopinavir/ritonavir is currently tested against COVID-19, but ""no benefit was observed with lopinavir–ritonavir treatment beyond standard care"". (doi: 10.1056/NEJMoa2001282)

Reportedly, lopinavir has only mid-micromolar activity against SARS protease, ritonavir above 50 microM. (doi: 10.12688/f1000research.22457.1; doi: 10.1073/pnas.0403596101)

However, there is no crystal structure of the 2019-nCoV main protease with either of these two drugs that could clarify their potential for optimization against this target. Thus, I suggest lopinavir, ritonavir, and reasonably similar substructures available from catalog for soaking.

Procedure in KNIME:

1) search all substructures of lopinavir and ritonavir in MolPort
2) remove all redundant compounds and compounds with similarity < 0.5 (datawarrior SkelPheres) to either of the queries
3) remove all compounds void of a ring or containing amides (as substructures of amides)

Selection not based on or compared to fragment hits; x0072 selected as dummy.",x0072,Z19735469,False,False,https://covid.postera.ai/covid/submissions/fca05062-0f3e-4628-bbc6-11b77e72bb8e,False,False,False,False,False,False,False,False,False,True
CCCNC(=O)C(C)NC(=O)N(C)Cc1csc(C)n1,ALE-UNK-fca-9,Alexander Metz,"Lopinavir/ritonavir and similar substructures from catalog.

The combination lopinavir/ritonavir is currently tested against COVID-19, but ""no benefit was observed with lopinavir–ritonavir treatment beyond standard care"". (doi: 10.1056/NEJMoa2001282)

Reportedly, lopinavir has only mid-micromolar activity against SARS protease, ritonavir above 50 microM. (doi: 10.12688/f1000research.22457.1; doi: 10.1073/pnas.0403596101)

However, there is no crystal structure of the 2019-nCoV main protease with either of these two drugs that could clarify their potential for optimization against this target. Thus, I suggest lopinavir, ritonavir, and reasonably similar substructures available from catalog for soaking.

Procedure in KNIME:

1) search all substructures of lopinavir and ritonavir in MolPort
2) remove all redundant compounds and compounds with similarity < 0.5 (datawarrior SkelPheres) to either of the queries
3) remove all compounds void of a ring or containing amides (as substructures of amides)

Selection not based on or compared to fragment hits; x0072 selected as dummy.",x0072,False,Z900735246,False,https://covid.postera.ai/covid/submissions/fca05062-0f3e-4628-bbc6-11b77e72bb8e,False,False,False,False,False,False,False,False,False,True
O=C1N(c2ccccc2)CCN1c1cccnc1,DAR-DIA-fc9-1,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=C1NC(c2cccnc2)CCN1c1ccccc1,DAR-DIA-fc9-2,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=c1n(-c2ccccc2)ccn1-c1cccnc1,DAR-DIA-fc9-3,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=C1CC(c2cccnc2)CCN1c1ccccc1,DAR-DIA-fc9-4,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=C1CN(c2cccnc2)CCN1c1ccccc1,DAR-DIA-fc9-5,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=C1N(c2ccccc2)CCCN1c1cccnc1,DAR-DIA-fc9-6,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=C1C(c2ccccc2)CCCN1c1cccnc1,DAR-DIA-fc9-7,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=C1C(c2ccccc2)OCCN1c1cccnc1,DAR-DIA-fc9-8,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
CC(=O)N(C(=O)Nc1ccccc1)c1cccnc1,DAR-DIA-fc9-9,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=C1N(c2ccccc2)CCCCN1c1cccnc1,DAR-DIA-fc9-10,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=C1CN(c2ccccc2)CCCN1c1cccnc1,DAR-DIA-fc9-11,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=C1C(c2ccccc2)C=CCN1c1cccnc1,DAR-DIA-fc9-12,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=C1CN(c2ccccc2)CCCN1c1cccnc1,DAR-DIA-fc9-13,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
O=C(Nc1ccccc1)N(c1cccnc1)c1ccccn1,DAR-DIA-fc9-14,"Daren Fearon, Diamond Light Source Ltd",Cyclisation of urea in x0434,x0434,False,False,False,https://covid.postera.ai/covid/submissions/fc970077-6f76-4de1-8de8-e2a37381b22b,False,False,False,False,False,False,False,False,False,False
NS(=O)(=O)c1ccc2c(c1)N(CCNC(=O)Cc1c[nH]c3ncccc13)CCC2,PET-SGC-fc6-1,"PETER BROWN, SGC, Univ Toronto",0195/1093 COMBO,"x0195,x1093",False,False,False,https://covid.postera.ai/covid/submissions/fc67af9f-fd21-45cb-82bf-350a2485c184,False,False,False,False,False,False,False,False,False,False
CC(=O)NCc1ccc(C(=O)N(c2ccccc2)c2cccnc2)[nH]1,JAC-SHE-fc1-1,"Jack Slater, Sheffield Hallam University","Inspired by fragments:
X0194_0 ; X0177_0
Interactions judged by eye.
Phenyl ring occupies a hydrophobic pocket.
meta-positioned pyridyl nitrogen undergoes hydrogen-bonding with H2O network.
Amide carbonyl undergoes key hydrogen-bonding interaction with Histidine-80 (A.N/0).
Pyrrole nitrogen also engages Histidine-80 in hydrogen bonding (A.NE2/0).
Terminal acetamide chain engages in peripheral hydrogen-bonding interactions with Glutamic acid-55 residue (A.CA/0)/",x0195,False,False,False,https://covid.postera.ai/covid/submissions/fc18d444-9bef-4e12-a73c-5bdfff689621,False,False,False,False,False,False,False,False,False,False
CC(=O)/C=C/C1(Cc2ccccc2)COC(Cn2cc3c(n2)CC(NC(N)=[NH2+])C3c2nc(Cc3ccccc3)co2)=N1,ABH-UNI-fbf-1,"Abhishek Jalan - Bruce Lichtenstein, Uni-Bayreuth and Uni-Portsmouth","We had previously submitted a peptide ligand with sequence GFRGFS (submission # ABH-HOE-1cb). We converted it to a peptidomimetic molecule with a Michael acceptor for covalent bonding to Cys145 and docked it onto 6y2e PDB using rosetta ligand docking. The approximate ligand docking protocol is as follows, 
1. First we used SiteHound to identify posssible ligand binding sites in 6y2e using a Methyl probe. Three binding sites were found but only the active site showed the highest score qualifying for the subsequent docking run. 
2. The ligand was placed close to 6y2e at the XYZ coordinates obtained for high scoring solution from SiteHound. 10,000 docking poses were generated by restricting the ligand to a box of 10 Å radius and perturbing (rotation + translation) the ligand 5 Å. Rosetta calculated the interface_delta score which is approximate measure of the interaction between the ligand and the protein. Top 10 solution sorted using interface_delta score were manually inspected in pymol. All 10 solutions docked the ligand in the active site.
Key Features of the docked pose are:
- The peptidomimetic molecule contains two phenylalanines and one arginine. 
- The Michael acceptor is placed close to C145 for covalent bond formation
- The N-term Phe occupies hydrophobic pocket formed by residues H41, M49, F140, H163
- The C-term Phe occupies hydrophobic pocket formed by residues M165, L167, F185 and V186
- Arg forms a salt-bridge to E166 and another polar contact to the backbone carbonyls of residues L167 and P168. 

The ligand buries a total surface area of ~ 500 Å^2. 

Please see discussion for more details on the docking protocol and pictures.",x0072,False,False,False,https://covid.postera.ai/covid/submissions/fbfec4c4-54e7-4acd-88a6-98b206b7e4bf,False,False,False,False,False,False,False,False,False,False
Cc1nc(-c2ccccc2)c(NCC(C2CCC(c3cn(C)nn3)N2)S(C)(=O)=O)s1,JAC-SHE-fb0-1,"Jack Slater, Sheffield Hallam University","Combination of fragments:
X1226_0 ; X1235_0

Phenyl ring and thiazole ring occupy hydrophobic pockets.
Both -NH groups form key hydrogen-bonding interactions with Histidine-80 residue.
Triazole N1 undergoes hydrogen-bonding interaction with Histidine-80 residue. Triazole N2 undergoes hydrogen-bonding interaction with Asparagine-63 residue.
Sulfone group undergoes relatively weaker hydrogen-bonding interactions with surface H2O (anchoring interaction)",x1249,False,False,False,https://covid.postera.ai/covid/submissions/fb00f511-96b9-4d74-bb4c-fb1401a001d8,False,False,False,False,False,False,False,False,False,False
C#Cc1ccnc(CN(C(=O)Nc2c(CN3CCOCC3)ccnc2C)c2nccc(C(C)C)n2)n1,AGN-NEW-fad-1,"Agnieszka K. Bronowska, Newcastle University",Molecular docking and structure-guided iterative optimisation (SeeSAR).,"x0434,x0540",False,False,False,https://covid.postera.ai/covid/submissions/fad6815c-0470-4c07-89ff-303cd8ea635d,False,False,False,False,False,False,False,False,False,False
C#Cc1cccc(CN(C(=O)Nc2c(CN3CCOCC3)ccnc2C)c2nccc(C(C)C)n2)n1,AGN-NEW-fad-2,"Agnieszka K. Bronowska, Newcastle University",Molecular docking and structure-guided iterative optimisation (SeeSAR).,"x0434,x0540",False,False,False,https://covid.postera.ai/covid/submissions/fad6815c-0470-4c07-89ff-303cd8ea635d,False,False,False,False,False,False,False,False,False,False
C[C@H]1c2cnc([S@@](C)(=N)=O)cc2N(C2CCOCC2)CC1(F)F,DAV-AUT-fa2-1,"Davide Sabbadin, Autifony Therapeutics","PDB MODELS: Representative molecule bound to the predicted target protein structure is provided. The transformative structural leap from the available fragments is substantial. The representative reported molecule has a tanimito (our own implementation) color/shape overlap > 0.7 with fragments x0161, x0195, x0305, x0946 with a Tanimoto fingerprint (Morgan) overlap < 0.4 with all available fragments. 

DESIGN RATIONALE: Core modifications are inspired from a crystallographic fragments structure review and driven by contact and conformational analysis. Initial guess of the ligand binding conformation into the protein binding pocket obtained using AutoDock Vina. Structure was then refined running a MM energy minimization (Amber 99 FF), tethering (using harmonic restraints) binding pockets and ligand heavy atoms. The output is thoroughly validated using knowledge based methods (i.e. small and bio-molecules crystal structure information). J. Chem. Inf. Model., 2008, 48 (1), pp 1–24 and the Crystallography Open Database, J. Appl. Cryst. 42, 726-729.

BRIEF DESCRIPTION: Fluorination (at the 3 position of the tetrahydroquinoline core) to increase ligand volume occupancy with no disruption of the water network surrounding the binding pocket (MD simulation analysis). Methylation at the 4 position of the tetrahydroquinoline core. The methyl group will adopt an equatorial preferred orientation (i.e. Crystallography Open Database ref. 2213899) impacting favourably ligand binding both from an enthalpic and entropic contributions (i.e. Biophys J. 2015 Feb 17; 108(4): 928–936). Similarly, a polar lipophilic pocket compatible unit, such as a nitrile (R-CN, where R is an aromatic group) has also been seen to occupy that subpocket (fragment x0305). No step-change in activities between the two enantiomers has been predicted. A single methyl group substituent will tend to adopt an axial preferred orientation.  Gem-dimethyl group at the 4 position of the tetrahydroquinoline core is tolerated. Fluorination at the 5 position is placed in a mildly polar region of the binding pocket (small but significant enthalpic contribution). The alkyl portion of the tetrahydropyranyl moiety (position 1 of the tetrahydroquinoline) is able to interact with the Met49 side chain (hydrophobic interaction) while exposing the polar cyclic ether moiety towards the solvent exposed region. In particular the tetrahydropyran oxygen is interacting with the Ser46 side chain (favorable polar interaction). Such an interaction is quite solvent exposed therefore providing a negligible impact (enthalpic contribution) to the ligand binding energy. The tetrahydropyran oxygen is located in an overlapping region to the carbonyl oxygen of the N-acyl piperazine moiety (structure ref. x0354).

In order to reduce a potential CYP induction liability a sulfonamide to the sulfoximine transformation was applied (Org. Chem. Front., 2019,6, 1319-1324). The S-attached methyl group of the chiral group (S enantiomer) is interacting with Pro168, while the S-attached oxygen atom is directed towards a more solvent exposed area. The sulfoximine NH is interacting with the Glu166 backbone (Hydrogen bond) and thus having a similar protein-ligand interaction pattern of the parent fragment. Pyridine nitrogen can interact with water molecule W116.","x0195,x0305",False,False,False,https://covid.postera.ai/covid/submissions/fa25ac7f-b7ca-4ac6-8a32-5070858535ad,False,False,False,False,False,False,False,False,False,False
